signal_date,code,entry_date,exit_date,entry_price,exit_price,pred_prob_up,future_ret_ref,gross_trade_ret,net_trade_ret,weight,weighting_mode,industry_bucket,board_type
2025-01-02,sh.600588,2025-01-03,2025-01-10,10.129980409798003,10.11380651344527,0.7823790543007818,-0.0015966364888611029,-0.0015966364888611029,-0.002195498848259869,0.04725385057553624,dynamic_opt,unknown,other_board
2025-01-02,sz.000301,2025-01-03,2025-01-10,8.147962643072818,8.409924913720735,0.7464077742244623,0.03215064699266845,0.03215064699266845,0.031531542335869966,0.06478824212240733,dynamic_opt,unknown,other_board
2025-01-02,sz.300413,2025-01-03,2025-01-10,25.38204352813424,25.29515098098711,0.7464077742244623,-0.003423386578460863,-0.003423386578460863,-0.004021153216522411,0.16301465677311072,dynamic_opt,unknown,other_board
2025-01-02,sh.688223,2025-01-03,2025-01-10,7.053506968181748,6.53818606020799,0.7464077742244623,-0.07305882170376932,-0.07305882170376932,-0.07361481961137462,0.1498764593737659,dynamic_opt,unknown,other_board
2025-01-02,sh.600522,2025-01-03,2025-01-10,13.504676279129411,12.959954117435563,0.7096252753278551,-0.040335817789030615,-0.040335817789030615,-0.04091144361061061,0.24999999999974992,dynamic_opt,unknown,other_board
2025-01-02,sh.601012,2025-01-03,2025-01-10,15.470480879948598,14.900874904210978,0.7096252753278551,-0.03681889271308003,-0.03681889271308003,-0.037396628056848846,0.24999999999974992,dynamic_opt,unknown,other_board
2025-01-02,sh.688506,2025-01-03,2025-01-10,190.27544385409567,188.7887229931805,0.6271917289932097,-0.00781351934228669,-0.00781351934228669,-0.008408652690676699,0.0,dynamic_opt,unknown,other_board
2025-01-02,sh.603195,2025-01-03,2025-01-10,47.93821885591104,47.22715703186627,0.6135758858308276,-0.01483287950649581,-0.01483287950649581,-0.015423802501893236,0.07506679115467985,dynamic_opt,unknown,other_board
2025-01-02,sh.603893,2025-01-03,2025-01-10,101.29380172838164,128.03317610724596,0.5959366164156957,0.2639783868569219,0.2639783868569219,0.2632202272726831,0.0,dynamic_opt,unknown,other_board
2025-01-02,sh.601336,2025-01-03,2025-01-10,45.12136683589475,44.01578489989486,0.5959366164156957,-0.024502403484846447,-0.024502403484846447,-0.025087526505849334,0.0,dynamic_opt,unknown,other_board
2025-01-09,sh.600346,2025-01-10,2025-01-17,14.863125068829925,14.258776196016761,0.7456638243676444,-0.040660955890193584,-0.040660955890193584,-0.041236386687420135,0.1199189725929938,dynamic_opt,unknown,other_board
2025-01-09,sh.600918,2025-01-10,2025-01-17,6.1414862518466204,6.193859712426654,0.7298662303656561,0.008527815325366506,0.008527815325366506,0.007922880116733921,0.044508167648579136,dynamic_opt,unknown,other_board
2025-01-09,sh.600219,2025-01-10,2025-01-17,3.6154671678483132,3.734843833273925,0.7297738947341966,0.03301832374144431,0.03301832374144431,0.03239869863473155,0.1461476088198154,dynamic_opt,unknown,other_board
2025-01-09,sh.600522,2025-01-10,2025-01-17,12.959954117435563,13.5683907003648,0.7096252753278551,0.046947433410249095,0.046947433410249095,0.046319453344222605,0.22196732940498673,dynamic_opt,unknown,other_board
2025-01-09,sh.601136,2025-01-10,2025-01-17,19.694854692588457,19.56954692082472,0.7096252753278551,-0.006362462364948751,-0.006362462364948751,-0.006958466086413373,0.06374797194103206,dynamic_opt,unknown,other_board
2025-01-09,sh.601878,2025-01-10,2025-01-17,11.279747168515707,11.323785139286372,0.6985147853226298,0.0039041629312916992,0.0039041629312916992,0.003302001082087669,0.13777544631244287,dynamic_opt,unknown,other_board
2025-01-09,sh.600436,2025-01-10,2025-01-17,203.2444671942534,201.1102503619132,0.6909838593861521,-0.010500737667320514,-0.010500737667320514,-0.011094259168269671,0.06441152952488671,dynamic_opt,unknown,other_board
2025-01-09,sz.002601,2025-01-10,2025-01-17,16.0710250191765,16.978645654197244,0.6909838593861521,0.05647559094312182,0.05647559094312182,0.05584189569712983,0.044508167648579136,dynamic_opt,unknown,other_board
2025-01-09,sh.601238,2025-01-10,2025-01-17,8.347439241586832,8.55172480572241,0.6853557641901494,0.024472842295970798,0.024472842295970798,0.023858342940400235,0.10801607845771556,dynamic_opt,unknown,other_board
2025-01-09,sh.600515,2025-01-10,2025-01-17,3.473656895528828,3.8292687365312474,0.6827376519390977,0.10237391075066982,0.10237391075066982,0.10171268477201312,0.048998727647968685,dynamic_opt,unknown,other_board
2025-01-16,sz.300832,2025-01-17,2025-01-24,59.4744425460474,61.658225048101755,0.6574655588348253,0.03671799866577219,0.03671799866577219,0.03609615441984659,0.07019614464846861,dynamic_opt,unknown,other_board
2025-01-16,sh.688009,2025-01-17,2025-01-24,5.57194967878005,5.588468339044756,0.5802187940496103,0.0029646104534308826,0.0029646104534308826,0.0023630121666449178,0.05693225125642831,dynamic_opt,unknown,other_board
2025-01-16,sh.600026,2025-01-17,2025-01-24,12.879001055702807,12.474853520502155,0.5650794212944535,-0.031380348014077075,-0.031380348014077075,-0.03196134550602092,0.12303299649043486,dynamic_opt,unknown,other_board
2025-01-16,sh.603296,2025-01-17,2025-01-24,71.3073161637671,77.3054702306856,0.5650794212944535,0.0841169516623208,0.0841169516623208,0.0834666765738501,0.11285448502860901,dynamic_opt,unknown,other_board
2025-01-16,sz.300347,2025-01-17,2025-01-24,49.017336531523846,47.83747311110857,0.5625350858216983,-0.024070329069337815,-0.024070329069337815,-0.024655711257239754,0.11647286664563059,dynamic_opt,unknown,other_board
2025-01-16,sh.688047,2025-01-17,2025-01-24,123.54982379033899,121.838356630117,0.5625350858216983,-0.013852445173271,-0.013852445173271,-0.014443956252843115,0.10636904800743274,dynamic_opt,unknown,other_board
2025-01-16,sh.600027,2025-01-17,2025-01-24,4.812838094363269,4.8663317934283326,0.5625350858216983,0.011114792979781019,0.011114792979781019,0.010508306050072358,0.1025222793621953,dynamic_opt,unknown,other_board
2025-01-16,sh.601059,2025-01-17,2025-01-24,13.555388874285885,13.598750501249269,0.5625350858216983,0.0031988478799480635,0.0031988478799480635,0.0025971090928562646,0.10258671063801135,dynamic_opt,unknown,other_board
2025-01-16,sh.603019,2025-01-17,2025-01-24,63.693109268108024,65.30651682656652,0.5625350858216983,0.025330959298376143,0.025330959298376143,0.0247159452270187,0.10566260384869858,dynamic_opt,unknown,other_board
