signal_ts,ic,rank_ic,n,factor
2025-01-02,0.33105511298506485,0.24582869855394882,30,mom_5
2025-01-03,0.10930097512392706,0.05850945494994438,30,mom_5
2025-01-06,0.0533057393091943,-0.10255839822024472,30,mom_5
2025-01-07,0.29273661225698655,0.22313681868743046,30,mom_5
2025-01-08,0.3025362968669709,0.0011123470522803117,30,mom_5
2025-01-09,0.20627117469127346,0.11858938776241647,30,mom_5
2025-01-10,-0.07141363561955698,-0.11101223581757509,30,mom_5
2025-01-13,-0.24387483352102293,0.0011123470522803117,30,mom_5
2025-01-14,-0.017497045086179934,0.045606229143492764,30,mom_5
2025-01-15,-0.17439596585403164,-0.2342602892102336,30,mom_5
2025-01-16,-0.39368808346408973,-0.31835372636262516,30,mom_5
2025-01-17,-0.5449594587324976,-0.3979977753058954,30,mom_5
2025-01-20,-0.34805894289640554,-0.38731924360400444,30,mom_5
2025-01-21,-0.33425954177179223,-0.40511679644048937,30,mom_5
2025-01-22,-0.3726896934875548,-0.41090100111234706,30,mom_5
2025-01-23,-0.26832820201374397,-0.3010011123470523,30,mom_5
2025-01-24,-0.20825900847281748,-0.26585094549499444,30,mom_5
2025-01-27,-0.2732439300872122,-0.4562847608453838,30,mom_5
2025-02-05,0.0643738261266607,0.015350389321468297,30,mom_5
2025-02-06,0.014227480587941035,-0.0967741935483871,30,mom_5
2025-02-07,0.23779920887866585,0.07497219132369298,30,mom_5
2025-02-10,0.5018850987903638,0.296551724137931,30,mom_5
2025-02-11,0.20718915841719993,-0.04338153503893215,30,mom_5
2025-02-12,0.39559593911231483,0.25164089598366424,30,mom_5
2025-02-13,0.24834165139091594,0.09588431590656285,30,mom_5
2025-02-14,0.3251035925253591,0.0006674082313681868,30,mom_5
2025-02-17,0.21764223465111715,0.10190232569453422,30,mom_5
2025-02-18,0.29042360462861505,0.19688542825361513,30,mom_5
2025-02-19,0.17032351635130571,0.09766407119021134,30,mom_5
2025-02-20,-0.27103817463521784,-0.20667408231368187,30,mom_5
2025-02-21,-0.16715641498546954,-0.13770856507230256,30,mom_5
2025-02-24,0.2614015424078664,0.2921023359288098,30,mom_5
2025-02-25,0.2247371807933428,0.28231368186874306,30,mom_5
2025-02-26,0.1957170755310379,0.17775305895439378,30,mom_5
2025-02-27,0.20846673659286535,0.23737486095661847,30,mom_5
2025-02-28,0.16690349289903506,0.04516129032258065,30,mom_5
2025-03-03,0.24890924242427756,0.08698553948832036,30,mom_5
2025-03-04,0.26969022797968484,0.15239154616240266,30,mom_5
2025-03-05,0.17743299702038323,0.08832035595105672,30,mom_5
2025-03-06,-0.10550163580654044,-0.16440489432703,30,mom_5
2025-03-07,-0.2074965701379918,-0.23025583982202447,30,mom_5
2025-03-10,-0.3101850059656995,-0.18978751925204734,30,mom_5
2025-03-11,-0.3419435797822975,-0.25339265850945497,30,mom_5
2025-03-12,-0.18439888227851955,-0.1350389321468298,30,mom_5
2025-03-13,0.2891853543187088,0.182202447163515,30,mom_5
2025-03-14,0.251305616331301,0.17597330367074526,30,mom_5
2025-03-17,0.30985411785377376,0.2324805339265851,30,mom_5
2025-03-18,0.18157470465661726,0.07185761957730812,30,mom_5
2025-03-19,-0.02770416924419978,-0.0037819799777530586,30,mom_5
2025-03-20,0.24017152251944235,0.20845383759733035,30,mom_5
2025-03-21,-0.03912886862264428,-0.010456062291434927,30,mom_5
2025-03-24,0.15334212309518647,0.18620689655172412,30,mom_5
2025-03-25,-0.023569422293738523,0.15773081201334815,30,mom_5
2025-03-26,-0.21235199441967098,-0.17908787541713014,30,mom_5
2025-03-27,0.4163751002865237,0.4420467185761958,30,mom_5
2025-03-28,0.2870295948456424,0.22872399741043928,30,mom_5
2025-03-31,0.20946029362899493,0.18066525865493843,30,mom_5
2025-04-01,0.12202644713860529,0.035817575083426034,30,mom_5
2025-04-02,-0.07322417626895171,-0.031149182526713518,30,mom_5
2025-04-03,-0.26430818349553287,-0.260511679644049,30,mom_5
2025-04-07,-0.43354754373433024,-0.32947719688542826,30,mom_5
2025-04-08,-0.5999984529480376,-0.2996662958843159,30,mom_5
2025-04-09,-0.4274102641883041,-0.14304783092324808,30,mom_5
2025-04-10,-0.4442963929502582,-0.14482758620689654,30,mom_5
2025-04-11,-0.36543685357472006,-0.13147942157953282,30,mom_5
2025-04-14,0.07600144500149747,0.13014460511679646,30,mom_5
2025-04-15,0.527541785017086,0.3325917686318131,30,mom_5
2025-04-16,0.6073591135720513,0.3686318131256952,30,mom_5
2025-04-17,0.33738609402192143,0.15150166852057842,30,mom_5
2025-04-18,0.002527038316555082,-0.06654797009191124,30,mom_5
2025-04-21,-0.11259718794039787,-0.12237178849780313,30,mom_5
2025-04-22,-0.07742816919323853,-0.18244521194217916,30,mom_5
2025-04-23,-0.09201833759712874,-0.13103448275862067,30,mom_5
2025-04-24,-0.0769355753254839,-0.11412680756395997,30,mom_5
2025-04-25,-0.024152992047267736,0.0064516129032258064,30,mom_5
2025-04-28,0.010940103198547591,-0.03492769744160178,30,mom_5
2025-04-29,0.47498307855063715,0.5559510567296997,30,mom_5
2025-04-30,0.2984828732274697,0.3441601779755284,30,mom_5
2025-05-06,-0.006058221534290449,-0.05295361029541298,30,mom_5
2025-05-07,-0.14717311721958456,-0.029143492769744164,30,mom_5
2025-05-08,0.011028092524284246,0.11056729699666296,30,mom_5
2025-05-09,-0.10822211920911146,-0.05651351686989453,30,mom_5
2025-05-12,-0.06472568745795204,-0.10878754171301447,30,mom_5
