date,code
2022-07-29,sh.600000
2022-07-29,sh.600009
2022-07-29,sh.600010
2022-07-29,sh.600011
2022-07-29,sh.600015
2022-08-05,sh.600000
2022-08-05,sh.600009
2022-08-05,sh.600010
2022-08-05,sh.600011
2022-08-05,sh.600015
2022-08-12,sh.600000
2022-08-12,sh.600009
2022-08-12,sh.600010
2022-08-12,sh.600011
2022-08-12,sh.600015
2022-08-19,sh.600000
2022-08-19,sh.600009
2022-08-19,sh.600010
2022-08-19,sh.600011
2022-08-19,sh.600015
2022-08-26,sh.600000
2022-08-26,sh.600009
2022-08-26,sh.600010
2022-08-26,sh.600011
2022-08-26,sh.600015
2022-09-02,sh.600000
2022-09-02,sh.600009
2022-09-02,sh.600010
2022-09-02,sh.600011
2022-09-02,sh.600015
2022-09-09,sh.600000
2022-09-09,sh.600009
2022-09-09,sh.600010
2022-09-09,sh.600011
2022-09-09,sh.600015
2022-09-16,sh.600000
2022-09-16,sh.600009
2022-09-16,sh.600010
2022-09-16,sh.600011
2022-09-16,sh.600015
2022-09-23,sh.600000
2022-09-23,sh.600009
2022-09-23,sh.600010
2022-09-23,sh.600011
2022-09-23,sh.600015
2022-09-30,sh.600000
2022-09-30,sh.600009
2022-09-30,sh.600010
2022-09-30,sh.600011
2022-09-30,sh.600015
2022-10-14,sh.600000
2022-10-14,sh.600009
2022-10-14,sh.600010
2022-10-14,sh.600011
2022-10-14,sh.600015
2022-10-21,sh.600000
2022-10-21,sh.600009
2022-10-21,sh.600010
2022-10-21,sh.600011
2022-10-21,sh.600015
2022-10-28,sh.600000
2022-10-28,sh.600009
2022-10-28,sh.600010
2022-10-28,sh.600011
2022-10-28,sh.600015
2022-11-04,sh.600000
2022-11-04,sh.600009
2022-11-04,sh.600010
2022-11-04,sh.600011
2022-11-04,sh.600015
2022-11-11,sh.600000
2022-11-11,sh.600009
2022-11-11,sh.600010
2022-11-11,sh.600011
2022-11-11,sh.600015
2022-11-18,sh.600000
2022-11-18,sh.600009
2022-11-18,sh.600010
2022-11-18,sh.600011
2022-11-18,sh.600015
2022-11-25,sh.600000
2022-11-25,sh.600009
2022-11-25,sh.600010
2022-11-25,sh.600011
2022-11-25,sh.600015
2022-12-02,sh.600000
2022-12-02,sh.600009
2022-12-02,sh.600010
2022-12-02,sh.600011
2022-12-02,sh.600015
2022-12-09,sh.600000
2022-12-09,sh.600009
2022-12-09,sh.600010
2022-12-09,sh.600011
2022-12-09,sh.600015
2022-12-16,sh.600000
2022-12-16,sh.600009
2022-12-16,sh.600010
2022-12-16,sh.600011
2022-12-16,sh.600015
2022-12-23,sh.600000
2022-12-23,sh.600009
2022-12-23,sh.600010
2022-12-23,sh.600011
2022-12-23,sh.600015
2022-12-30,sh.600000
2022-12-30,sh.600009
2022-12-30,sh.600010
2022-12-30,sh.600011
2022-12-30,sh.600015
2023-01-06,sh.600000
2023-01-06,sh.600009
2023-01-06,sh.600010
2023-01-06,sh.600011
2023-01-06,sh.600015
2023-01-13,sh.600000
2023-01-13,sh.600009
2023-01-13,sh.600010
2023-01-13,sh.600011
2023-01-13,sh.600015
2023-01-20,sh.600000
2023-01-20,sh.600009
2023-01-20,sh.600010
2023-01-20,sh.600011
2023-01-20,sh.600015
2023-02-03,sh.600000
2023-02-03,sh.600009
2023-02-03,sh.600010
2023-02-03,sh.600011
2023-02-03,sh.600015
2023-02-10,sh.600000
2023-02-10,sh.600009
2023-02-10,sh.600010
2023-02-10,sh.600011
2023-02-10,sh.600015
2023-02-17,sh.600000
2023-02-17,sh.600009
2023-02-17,sh.600010
2023-02-17,sh.600011
2023-02-17,sh.600015
2023-02-24,sh.600000
2023-02-24,sh.600009
2023-02-24,sh.600010
2023-02-24,sh.600011
2023-02-24,sh.600015
2023-03-03,sh.600000
2023-03-03,sh.600009
2023-03-03,sh.600010
2023-03-03,sh.600011
2023-03-03,sh.600015
2023-03-10,sh.600000
2023-03-10,sh.600009
