factor,freq,category,description
amihud_20,15min,auto_panel,auto passthrough: amihud_20
amount,15min,auto_panel,auto passthrough: amount
amount_ma12,15min,auto_panel,auto passthrough: amount_ma12
amount_ma20,15min,auto_panel,auto passthrough: amount_ma20
amount_ratio_12,15min,liquidity,amount ratio
amount_ratio_20,15min,auto_panel,auto passthrough: amount_ratio_20
atr_norm_14,15min,auto_panel,auto passthrough: atr_norm_14
barra_beta_proxy,15min,auto_panel,auto passthrough: barra_beta_proxy
barra_liquidity_proxy,15min,auto_panel,auto passthrough: barra_liquidity_proxy
barra_momentum_proxy,15min,auto_panel,auto passthrough: barra_momentum_proxy
barra_size_proxy,15min,auto_panel,auto passthrough: barra_size_proxy
barra_volatility_proxy,15min,auto_panel,auto passthrough: barra_volatility_proxy
breakout_20,15min,auto_panel,auto passthrough: breakout_20
close,15min,auto_panel,auto passthrough: close
close_to_vwap_day,15min,auto_panel,auto passthrough: close_to_vwap_day
crowding_proxy_raw,15min,crowding,crowding proxy negative
downside_vol_ratio_20,15min,auto_panel,auto passthrough: downside_vol_ratio_20
hf_5min_to_15min_last_amihud_20,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_amihud_20
hf_5min_to_15min_last_amount,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_amount
hf_5min_to_15min_last_amount_ratio_12,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_amount_ratio_12
hf_5min_to_15min_last_close,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_close
hf_5min_to_15min_last_close_to_vwap_day,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_close_to_vwap_day
hf_5min_to_15min_last_crowding_proxy_raw,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_crowding_proxy_raw
hf_5min_to_15min_last_high,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_high
hf_5min_to_15min_last_last30_momentum,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_last30_momentum
hf_5min_to_15min_last_low,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_low
hf_5min_to_15min_last_ma_gap_12,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_ma_gap_12
hf_5min_to_15min_last_ma_gap_6,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_ma_gap_6
hf_5min_to_15min_last_morning_momentum_30m,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_morning_momentum_30m
hf_5min_to_15min_last_open,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_open
hf_5min_to_15min_last_range_norm,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_range_norm
hf_5min_to_15min_last_realized_vol_20,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_realized_vol_20
hf_5min_to_15min_last_ret_1,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_ret_1
hf_5min_to_15min_last_ret_12,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_ret_12
hf_5min_to_15min_last_ret_1d,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_ret_1d
hf_5min_to_15min_last_ret_20d,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_ret_20d
hf_5min_to_15min_last_ret_3,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_ret_3
hf_5min_to_15min_last_ret_5d,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_ret_5d
hf_5min_to_15min_last_ret_6,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_ret_6
hf_5min_to_15min_last_ret_vol_corr_20,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_ret_vol_corr_20
hf_5min_to_15min_last_rv_12,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_rv_12
hf_5min_to_15min_last_vol_chg_1,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_vol_chg_1
hf_5min_to_15min_last_volume,15min,auto_panel,auto passthrough: hf_5min_to_15min_last_volume
hf_5min_to_15min_mean_amihud_20,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_amihud_20
hf_5min_to_15min_mean_amount,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_amount
hf_5min_to_15min_mean_amount_ratio_12,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_amount_ratio_12
hf_5min_to_15min_mean_close,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_close
hf_5min_to_15min_mean_close_to_vwap_day,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_close_to_vwap_day
hf_5min_to_15min_mean_crowding_proxy_raw,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_crowding_proxy_raw
hf_5min_to_15min_mean_high,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_high
hf_5min_to_15min_mean_last30_momentum,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_last30_momentum
hf_5min_to_15min_mean_low,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_low
hf_5min_to_15min_mean_ma_gap_12,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_ma_gap_12
hf_5min_to_15min_mean_ma_gap_6,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_ma_gap_6
hf_5min_to_15min_mean_morning_momentum_30m,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_morning_momentum_30m
hf_5min_to_15min_mean_open,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_open
hf_5min_to_15min_mean_range_norm,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_range_norm
hf_5min_to_15min_mean_realized_vol_20,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_realized_vol_20
hf_5min_to_15min_mean_ret_1,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_ret_1
hf_5min_to_15min_mean_ret_12,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_ret_12
hf_5min_to_15min_mean_ret_1d,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_ret_1d
hf_5min_to_15min_mean_ret_20d,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_ret_20d
hf_5min_to_15min_mean_ret_3,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_ret_3
hf_5min_to_15min_mean_ret_5d,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_ret_5d
hf_5min_to_15min_mean_ret_6,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_ret_6
hf_5min_to_15min_mean_ret_vol_corr_20,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_ret_vol_corr_20
hf_5min_to_15min_mean_rv_12,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_rv_12
hf_5min_to_15min_mean_vol_chg_1,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_vol_chg_1
hf_5min_to_15min_mean_volume,15min,auto_panel,auto passthrough: hf_5min_to_15min_mean_volume
hf_5min_to_15min_std_amihud_20,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_amihud_20
hf_5min_to_15min_std_amount,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_amount
hf_5min_to_15min_std_amount_ratio_12,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_amount_ratio_12
hf_5min_to_15min_std_close,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_close
hf_5min_to_15min_std_close_to_vwap_day,15min,auto_panel,auto passthrough: hf_5min_to_15min_std_close_to_vwap_day
