obs,ic_mean,ic_std,ic_ir,ic_positive_ratio,ic_tstat,rank_ic_mean,rank_ic_std,rank_ic_ir,rank_ic_positive_ratio,rank_ic_tstat,factor
24.0,0.1889611722862862,0.39541143587887206,3.3926465540955824,0.7083333333333334,2.341148542002878,0.12916666666666665,0.4476792006187764,2.0483247046389144,0.5833333333333334,1.4134783330214145,jump_ratio_5m
24.0,0.1310752757049137,0.5770927014119626,1.612465630075925,0.625,1.1127069969386647,0.075,0.4910060656669519,1.0844004131715206,0.5416666666666666,0.7483073776662854,atr_norm_14
24.0,0.10199783180285703,0.476461964096056,1.5197703643614877,0.625,1.0487411865550433,0.1875,0.501573610705868,2.6538835432831527,0.6666666666666666,1.8313536317251575,ret_vol_corr_20
24.0,0.1031724836571627,0.5908323101169475,1.2396951912440262,0.7083333333333334,0.8554709555598355,0.09166666666666666,0.5508228364015505,1.1814484315725546,0.5833333333333334,0.815276872767262,realized_vol_20
24.0,0.07846035987698972,0.5673537935321118,0.9817741680087111,0.5416666666666666,0.6774885403948055,0.06666666666666667,0.5490439648719571,0.8620190967008348,0.5,0.5948496901286524,rev_1
24.0,0.0652798400724839,0.5802220783594739,0.7987301893552474,0.5416666666666666,0.5511761948810533,0.03333333333333331,0.5070517224853518,0.4667042450108645,0.5833333333333334,0.3220565258808733,rev_3
24.0,0.031108367954268468,0.5999872348582302,0.3680870046169392,0.5833333333333334,0.2540041647276398,0.029166666666666657,0.5827067027667309,0.3553465086729539,0.4583333333333333,0.24521238726775463,morning_momentum_30m
24.0,0.004723906537084072,0.600082351688483,0.05588634536441721,0.5,0.03856524217349654,0.016666666666666646,0.5561253117048716,0.21276067312826052,0.5416666666666666,0.1468188129083089,downside_vol_ratio_20
24.0,-0.000523249799101492,0.580413259642361,-0.0064001037327425184,0.5416666666666666,-0.004416491162184055,-0.05833333333333332,0.48357065637830515,-0.8563910554841356,0.4583333333333333,-0.5909659727184491,breakout_20
24.0,-0.00275450746553052,0.5737278989709934,-0.03408421160996243,0.5,-0.02352034054937189,-0.004166666666666652,0.552841801938868,-0.0535060822314028,0.5416666666666666,-0.036922704563230976,turn_ratio_5
24.0,-0.01638833119667302,0.62260228602107,-0.18686987256213872,0.4583333333333333,-0.1289524631338267,-0.04583333333333334,0.5999849031917144,-0.5423209589767098,0.375,-0.3742370158993451,mom_20
24.0,-0.02044565889337437,0.586708501911305,-0.24739675427344404,0.5416666666666666,-0.17071997961718707,0.01250000000000003,0.546381376600312,0.16241621795138575,0.5416666666666666,0.1120778382868927,close_to_vwap_day
24.0,-0.02702347427336962,0.6553403839231994,-0.2927450230258304,0.4583333333333333,-0.20201325805901,-0.037500000000000026,0.5784631061851665,-0.4602257039263357,0.4583333333333333,-0.3175859078036555,ma_gap_20
24.0,-0.048168060522126875,0.6100039835413884,-0.5605853667873408,0.375,-0.3868406546912451,-0.03750000000000001,0.5829553640903727,-0.45667920159700504,0.4583333333333333,-0.315138588690057,vol_ratio_20
24.0,-0.07541867517634854,0.6276135320923231,-0.8531037844097692,0.375,-0.5886975401658066,-0.05416666666666666,0.6164267061524598,-0.6238295357150963,0.4583333333333333,-0.430483277497519,amount_ratio_20
24.0,-0.0924779828876535,0.5885020072353032,-1.1155927114275288,0.4583333333333333,-0.769832108409491,-0.02499999999999998,0.5415356586275897,-0.3277390706694751,0.4166666666666667,-0.22616144511987465,minute_ret_skew_5m
24.0,-0.08575966149369829,0.5293167921713233,-1.1502246074311995,0.375,-0.7937303870963504,-0.11666666666666665,0.5280535765527442,-1.5684983615506618,0.375,-1.0823666991910235,last30_momentum
24.0,-0.10588876622973455,0.5788478277059974,-1.2986758021673475,0.4166666666666667,-0.896171443826991,-0.075,0.5160468465421398,-1.0317807075979997,0.4166666666666667,-0.7119963311072637,ma_gap_5
24.0,-0.12323195916527219,0.6220735857757173,-1.4063611487511891,0.4166666666666667,-0.9704813927503451,-0.10000000000000002,0.5978221343742852,-1.187526411538788,0.4583333333333333,-0.8194710774123324,open_to_close_intraday
24.0,-0.12536411067961575,0.5987658215207362,-1.4863856033083593,0.4583333333333333,-1.0257035127454055,-0.0375,0.5483671413743992,-0.4854842133178031,0.4166666666666667,-0.33501593521503253,mom_10
24.0,-0.11812726640160524,0.49691989584141616,-1.6876369936639912,0.375,-1.1645801659995911,-0.1769052545251739,0.5191730488877679,-2.419044521812345,0.4166666666666667,-1.6692993110184933,minute_up_ratio_5m
24.0,-0.14242900391377597,0.5697717853607849,-1.7746502137821731,0.375,-1.2246249924106236,-0.04166666666666668,0.5089773777040515,-0.5811731564363911,0.4583333333333333,-0.4010475792710398,mom_5
24.0,-0.1553756518546869,0.5383567205422536,-2.048934584037667,0.3333333333333333,-1.4138991897898467,-0.17916666666666667,0.5115867614518124,-2.4862980225617632,0.2916666666666667,-1.7157086356308722,signed_vol_imbalance_5m
24.0,-0.1465997205600762,0.41727337765818506,-2.4941796609626308,0.4166666666666667,-1.721147482842501,-0.13749999999999998,0.41995082527859606,-2.3244463528887103,0.375,-1.604020372667443,amihud_20
