factor,freq,category,description
amihud_1d,D,auto_panel,auto passthrough: amihud_1d
amihud_20,D,liquidity,negative amihud20
amount,D,auto_panel,auto passthrough: amount
amount_ma20,D,auto_panel,auto passthrough: amount_ma20
amount_ratio_20,D,liquidity,amount/amount_ma20
atr14,D,auto_panel,auto passthrough: atr14
atr_norm_14,D,volatility,atr14 norm negative
barra_beta_proxy,D,auto_panel,auto passthrough: barra_beta_proxy
barra_liquidity_proxy,D,auto_panel,auto passthrough: barra_liquidity_proxy
barra_momentum_proxy,D,auto_panel,auto passthrough: barra_momentum_proxy
barra_size_proxy,D,auto_panel,auto passthrough: barra_size_proxy
barra_volatility_proxy,D,auto_panel,auto passthrough: barra_volatility_proxy
body_ratio,D,price_action,body ratio
breakout_20,D,trend,close/rolling high20 - 1
close,D,auto_panel,auto passthrough: close
close_pos,D,price_action,close position in range
close_to_vwap_day,D,intraday_micro,close-vwap
crowding_proxy_raw,D,auto_panel,auto passthrough: crowding_proxy_raw
downside_vol_20,D,auto_panel,auto passthrough: downside_vol_20
downside_vol_ratio_20,D,volatility,downside ratio negative
fund_mo_170e470bf9,D,mined_factor,fundamental_multiobj admitted factor #4; profile=D_fundamental_nsga2_v1
fund_mo_2ea9e16091,D,mined_factor,fundamental_multiobj admitted factor #1; profile=D_fundamental_nsga2_v1
fund_mo_788f86a2af,D,mined_factor,fundamental_multiobj admitted factor #6; profile=D_fundamental_nsga2_v1
fund_mo_80d7c020a0,D,mined_factor,fundamental_multiobj admitted factor #2; profile=D_fundamental_nsga2_v1
fund_mo_94a07180d1,D,mined_factor,fundamental_multiobj admitted factor #3; profile=D_fundamental_nsga2_v1
fund_mo_a420218040,D,mined_factor,fundamental_multiobj admitted factor #5; profile=D_fundamental_nsga2_v1
hf_120min_to_D_last_amihud_20,D,auto_panel,auto passthrough: hf_120min_to_D_last_amihud_20
hf_120min_to_D_last_amount,D,auto_panel,auto passthrough: hf_120min_to_D_last_amount
hf_120min_to_D_last_amount_ratio_12,D,auto_panel,auto passthrough: hf_120min_to_D_last_amount_ratio_12
hf_120min_to_D_last_close,D,auto_panel,auto passthrough: hf_120min_to_D_last_close
hf_120min_to_D_last_close_to_vwap_day,D,auto_panel,auto passthrough: hf_120min_to_D_last_close_to_vwap_day
hf_120min_to_D_last_crowding_proxy_raw,D,auto_panel,auto passthrough: hf_120min_to_D_last_crowding_proxy_raw
hf_120min_to_D_last_high,D,auto_panel,auto passthrough: hf_120min_to_D_last_high
hf_120min_to_D_last_last30_momentum,D,auto_panel,auto passthrough: hf_120min_to_D_last_last30_momentum
hf_120min_to_D_last_low,D,auto_panel,auto passthrough: hf_120min_to_D_last_low
hf_120min_to_D_last_ma_gap_12,D,auto_panel,auto passthrough: hf_120min_to_D_last_ma_gap_12
hf_120min_to_D_last_ma_gap_6,D,auto_panel,auto passthrough: hf_120min_to_D_last_ma_gap_6
hf_120min_to_D_last_morning_momentum_30m,D,auto_panel,auto passthrough: hf_120min_to_D_last_morning_momentum_30m
hf_120min_to_D_last_open,D,auto_panel,auto passthrough: hf_120min_to_D_last_open
hf_120min_to_D_last_range_norm,D,auto_panel,auto passthrough: hf_120min_to_D_last_range_norm
hf_120min_to_D_last_realized_vol_20,D,auto_panel,auto passthrough: hf_120min_to_D_last_realized_vol_20
hf_120min_to_D_last_ret_1,D,auto_panel,auto passthrough: hf_120min_to_D_last_ret_1
hf_120min_to_D_last_ret_12,D,auto_panel,auto passthrough: hf_120min_to_D_last_ret_12
hf_120min_to_D_last_ret_1d,D,auto_panel,auto passthrough: hf_120min_to_D_last_ret_1d
hf_120min_to_D_last_ret_20d,D,auto_panel,auto passthrough: hf_120min_to_D_last_ret_20d
hf_120min_to_D_last_ret_3,D,auto_panel,auto passthrough: hf_120min_to_D_last_ret_3
hf_120min_to_D_last_ret_5d,D,auto_panel,auto passthrough: hf_120min_to_D_last_ret_5d
hf_120min_to_D_last_ret_6,D,auto_panel,auto passthrough: hf_120min_to_D_last_ret_6
hf_120min_to_D_last_ret_vol_corr_20,D,auto_panel,auto passthrough: hf_120min_to_D_last_ret_vol_corr_20
hf_120min_to_D_last_rv_12,D,auto_panel,auto passthrough: hf_120min_to_D_last_rv_12
hf_120min_to_D_last_vol_chg_1,D,auto_panel,auto passthrough: hf_120min_to_D_last_vol_chg_1
hf_120min_to_D_last_volume,D,auto_panel,auto passthrough: hf_120min_to_D_last_volume
hf_120min_to_D_mean_amihud_20,D,auto_panel,auto passthrough: hf_120min_to_D_mean_amihud_20
hf_120min_to_D_mean_amount,D,auto_panel,auto passthrough: hf_120min_to_D_mean_amount
hf_120min_to_D_mean_amount_ratio_12,D,auto_panel,auto passthrough: hf_120min_to_D_mean_amount_ratio_12
hf_120min_to_D_mean_close,D,auto_panel,auto passthrough: hf_120min_to_D_mean_close
hf_120min_to_D_mean_close_to_vwap_day,D,auto_panel,auto passthrough: hf_120min_to_D_mean_close_to_vwap_day
hf_120min_to_D_mean_crowding_proxy_raw,D,auto_panel,auto passthrough: hf_120min_to_D_mean_crowding_proxy_raw
hf_120min_to_D_mean_high,D,auto_panel,auto passthrough: hf_120min_to_D_mean_high
hf_120min_to_D_mean_last30_momentum,D,auto_panel,auto passthrough: hf_120min_to_D_mean_last30_momentum
hf_120min_to_D_mean_low,D,auto_panel,auto passthrough: hf_120min_to_D_mean_low
hf_120min_to_D_mean_ma_gap_12,D,auto_panel,auto passthrough: hf_120min_to_D_mean_ma_gap_12
hf_120min_to_D_mean_ma_gap_6,D,auto_panel,auto passthrough: hf_120min_to_D_mean_ma_gap_6
hf_120min_to_D_mean_morning_momentum_30m,D,auto_panel,auto passthrough: hf_120min_to_D_mean_morning_momentum_30m
hf_120min_to_D_mean_open,D,auto_panel,auto passthrough: hf_120min_to_D_mean_open
hf_120min_to_D_mean_range_norm,D,auto_panel,auto passthrough: hf_120min_to_D_mean_range_norm
hf_120min_to_D_mean_realized_vol_20,D,auto_panel,auto passthrough: hf_120min_to_D_mean_realized_vol_20
hf_120min_to_D_mean_ret_1,D,auto_panel,auto passthrough: hf_120min_to_D_mean_ret_1
hf_120min_to_D_mean_ret_12,D,auto_panel,auto passthrough: hf_120min_to_D_mean_ret_12
hf_120min_to_D_mean_ret_1d,D,auto_panel,auto passthrough: hf_120min_to_D_mean_ret_1d
hf_120min_to_D_mean_ret_20d,D,auto_panel,auto passthrough: hf_120min_to_D_mean_ret_20d
hf_120min_to_D_mean_ret_3,D,auto_panel,auto passthrough: hf_120min_to_D_mean_ret_3
hf_120min_to_D_mean_ret_5d,D,auto_panel,auto passthrough: hf_120min_to_D_mean_ret_5d
hf_120min_to_D_mean_ret_6,D,auto_panel,auto passthrough: hf_120min_to_D_mean_ret_6
hf_120min_to_D_mean_ret_vol_corr_20,D,auto_panel,auto passthrough: hf_120min_to_D_mean_ret_vol_corr_20
hf_120min_to_D_mean_rv_12,D,auto_panel,auto passthrough: hf_120min_to_D_mean_rv_12
hf_120min_to_D_mean_vol_chg_1,D,auto_panel,auto passthrough: hf_120min_to_D_mean_vol_chg_1
hf_120min_to_D_mean_volume,D,auto_panel,auto passthrough: hf_120min_to_D_mean_volume
hf_120min_to_D_std_amihud_20,D,auto_panel,auto passthrough: hf_120min_to_D_std_amihud_20
hf_120min_to_D_std_amount,D,auto_panel,auto passthrough: hf_120min_to_D_std_amount
hf_120min_to_D_std_amount_ratio_12,D,auto_panel,auto passthrough: hf_120min_to_D_std_amount_ratio_12
hf_120min_to_D_std_close,D,auto_panel,auto passthrough: hf_120min_to_D_std_close
hf_120min_to_D_std_close_to_vwap_day,D,auto_panel,auto passthrough: hf_120min_to_D_std_close_to_vwap_day
hf_120min_to_D_std_crowding_proxy_raw,D,auto_panel,auto passthrough: hf_120min_to_D_std_crowding_proxy_raw
hf_120min_to_D_std_high,D,auto_panel,auto passthrough: hf_120min_to_D_std_high
hf_120min_to_D_std_last30_momentum,D,auto_panel,auto passthrough: hf_120min_to_D_std_last30_momentum
hf_120min_to_D_std_low,D,auto_panel,auto passthrough: hf_120min_to_D_std_low
hf_120min_to_D_std_ma_gap_12,D,auto_panel,auto passthrough: hf_120min_to_D_std_ma_gap_12
hf_120min_to_D_std_ma_gap_6,D,auto_panel,auto passthrough: hf_120min_to_D_std_ma_gap_6
hf_120min_to_D_std_morning_momentum_30m,D,auto_panel,auto passthrough: hf_120min_to_D_std_morning_momentum_30m
hf_120min_to_D_std_open,D,auto_panel,auto passthrough: hf_120min_to_D_std_open
hf_120min_to_D_std_range_norm,D,auto_panel,auto passthrough: hf_120min_to_D_std_range_norm
hf_120min_to_D_std_realized_vol_20,D,auto_panel,auto passthrough: hf_120min_to_D_std_realized_vol_20
hf_120min_to_D_std_ret_1,D,auto_panel,auto passthrough: hf_120min_to_D_std_ret_1
hf_120min_to_D_std_ret_12,D,auto_panel,auto passthrough: hf_120min_to_D_std_ret_12
hf_120min_to_D_std_ret_1d,D,auto_panel,auto passthrough: hf_120min_to_D_std_ret_1d
hf_120min_to_D_std_ret_20d,D,auto_panel,auto passthrough: hf_120min_to_D_std_ret_20d
hf_120min_to_D_std_ret_3,D,auto_panel,auto passthrough: hf_120min_to_D_std_ret_3
hf_120min_to_D_std_ret_5d,D,auto_panel,auto passthrough: hf_120min_to_D_std_ret_5d
hf_120min_to_D_std_ret_6,D,auto_panel,auto passthrough: hf_120min_to_D_std_ret_6
hf_120min_to_D_std_ret_vol_corr_20,D,auto_panel,auto passthrough: hf_120min_to_D_std_ret_vol_corr_20
hf_120min_to_D_std_rv_12,D,auto_panel,auto passthrough: hf_120min_to_D_std_rv_12
hf_120min_to_D_std_vol_chg_1,D,auto_panel,auto passthrough: hf_120min_to_D_std_vol_chg_1
hf_120min_to_D_std_volume,D,auto_panel,auto passthrough: hf_120min_to_D_std_volume
hf_15min_to_D_last_amihud_20,D,auto_panel,auto passthrough: hf_15min_to_D_last_amihud_20
hf_15min_to_D_last_amount,D,auto_panel,auto passthrough: hf_15min_to_D_last_amount
hf_15min_to_D_last_amount_ratio_12,D,auto_panel,auto passthrough: hf_15min_to_D_last_amount_ratio_12
hf_15min_to_D_last_close,D,auto_panel,auto passthrough: hf_15min_to_D_last_close
hf_15min_to_D_last_close_to_vwap_day,D,auto_panel,auto passthrough: hf_15min_to_D_last_close_to_vwap_day
hf_15min_to_D_last_crowding_proxy_raw,D,auto_panel,auto passthrough: hf_15min_to_D_last_crowding_proxy_raw
