factor,freq,category,description
amihud_20,W,auto_panel,auto passthrough: amihud_20
amount,W,auto_panel,auto passthrough: amount
amount_ma12,W,auto_panel,auto passthrough: amount_ma12
amount_ma20,W,auto_panel,auto passthrough: amount_ma20
amount_ratio_12,W,liquidity,amount ratio
amount_ratio_20,W,auto_panel,auto passthrough: amount_ratio_20
atr_norm_14,W,auto_panel,auto passthrough: atr_norm_14
barra_beta_proxy,W,auto_panel,auto passthrough: barra_beta_proxy
barra_liquidity_proxy,W,auto_panel,auto passthrough: barra_liquidity_proxy
barra_momentum_proxy,W,auto_panel,auto passthrough: barra_momentum_proxy
barra_size_proxy,W,auto_panel,auto passthrough: barra_size_proxy
barra_volatility_proxy,W,auto_panel,auto passthrough: barra_volatility_proxy
breakout_20,W,auto_panel,auto passthrough: breakout_20
close,W,auto_panel,auto passthrough: close
close_to_vwap_day,W,auto_panel,auto passthrough: close_to_vwap_day
crowding_proxy_raw,W,crowding,crowding proxy negative
downside_vol_ratio_20,W,auto_panel,auto passthrough: downside_vol_ratio_20
hf_120min_to_W_last_amihud_20,W,auto_panel,auto passthrough: hf_120min_to_W_last_amihud_20
hf_120min_to_W_last_amount,W,auto_panel,auto passthrough: hf_120min_to_W_last_amount
hf_120min_to_W_last_amount_ratio_12,W,auto_panel,auto passthrough: hf_120min_to_W_last_amount_ratio_12
hf_120min_to_W_last_close,W,auto_panel,auto passthrough: hf_120min_to_W_last_close
hf_120min_to_W_last_close_to_vwap_day,W,auto_panel,auto passthrough: hf_120min_to_W_last_close_to_vwap_day
hf_120min_to_W_last_crowding_proxy_raw,W,auto_panel,auto passthrough: hf_120min_to_W_last_crowding_proxy_raw
hf_120min_to_W_last_high,W,auto_panel,auto passthrough: hf_120min_to_W_last_high
hf_120min_to_W_last_last30_momentum,W,auto_panel,auto passthrough: hf_120min_to_W_last_last30_momentum
hf_120min_to_W_last_low,W,auto_panel,auto passthrough: hf_120min_to_W_last_low
hf_120min_to_W_last_ma_gap_12,W,auto_panel,auto passthrough: hf_120min_to_W_last_ma_gap_12
hf_120min_to_W_last_ma_gap_6,W,auto_panel,auto passthrough: hf_120min_to_W_last_ma_gap_6
hf_120min_to_W_last_morning_momentum_30m,W,auto_panel,auto passthrough: hf_120min_to_W_last_morning_momentum_30m
hf_120min_to_W_last_open,W,auto_panel,auto passthrough: hf_120min_to_W_last_open
hf_120min_to_W_last_range_norm,W,auto_panel,auto passthrough: hf_120min_to_W_last_range_norm
hf_120min_to_W_last_realized_vol_20,W,auto_panel,auto passthrough: hf_120min_to_W_last_realized_vol_20
hf_120min_to_W_last_ret_1,W,auto_panel,auto passthrough: hf_120min_to_W_last_ret_1
hf_120min_to_W_last_ret_12,W,auto_panel,auto passthrough: hf_120min_to_W_last_ret_12
hf_120min_to_W_last_ret_1d,W,auto_panel,auto passthrough: hf_120min_to_W_last_ret_1d
hf_120min_to_W_last_ret_20d,W,auto_panel,auto passthrough: hf_120min_to_W_last_ret_20d
hf_120min_to_W_last_ret_3,W,auto_panel,auto passthrough: hf_120min_to_W_last_ret_3
hf_120min_to_W_last_ret_5d,W,auto_panel,auto passthrough: hf_120min_to_W_last_ret_5d
hf_120min_to_W_last_ret_6,W,auto_panel,auto passthrough: hf_120min_to_W_last_ret_6
hf_120min_to_W_last_ret_vol_corr_20,W,auto_panel,auto passthrough: hf_120min_to_W_last_ret_vol_corr_20
hf_120min_to_W_last_rv_12,W,auto_panel,auto passthrough: hf_120min_to_W_last_rv_12
hf_120min_to_W_last_vol_chg_1,W,auto_panel,auto passthrough: hf_120min_to_W_last_vol_chg_1
hf_120min_to_W_last_volume,W,auto_panel,auto passthrough: hf_120min_to_W_last_volume
hf_120min_to_W_mean_amihud_20,W,auto_panel,auto passthrough: hf_120min_to_W_mean_amihud_20
hf_120min_to_W_mean_amount,W,auto_panel,auto passthrough: hf_120min_to_W_mean_amount
hf_120min_to_W_mean_amount_ratio_12,W,auto_panel,auto passthrough: hf_120min_to_W_mean_amount_ratio_12
hf_120min_to_W_mean_close,W,auto_panel,auto passthrough: hf_120min_to_W_mean_close
hf_120min_to_W_mean_close_to_vwap_day,W,auto_panel,auto passthrough: hf_120min_to_W_mean_close_to_vwap_day
hf_120min_to_W_mean_crowding_proxy_raw,W,auto_panel,auto passthrough: hf_120min_to_W_mean_crowding_proxy_raw
hf_120min_to_W_mean_high,W,auto_panel,auto passthrough: hf_120min_to_W_mean_high
hf_120min_to_W_mean_last30_momentum,W,auto_panel,auto passthrough: hf_120min_to_W_mean_last30_momentum
hf_120min_to_W_mean_low,W,auto_panel,auto passthrough: hf_120min_to_W_mean_low
hf_120min_to_W_mean_ma_gap_12,W,auto_panel,auto passthrough: hf_120min_to_W_mean_ma_gap_12
hf_120min_to_W_mean_ma_gap_6,W,auto_panel,auto passthrough: hf_120min_to_W_mean_ma_gap_6
hf_120min_to_W_mean_morning_momentum_30m,W,auto_panel,auto passthrough: hf_120min_to_W_mean_morning_momentum_30m
hf_120min_to_W_mean_open,W,auto_panel,auto passthrough: hf_120min_to_W_mean_open
hf_120min_to_W_mean_range_norm,W,auto_panel,auto passthrough: hf_120min_to_W_mean_range_norm
hf_120min_to_W_mean_realized_vol_20,W,auto_panel,auto passthrough: hf_120min_to_W_mean_realized_vol_20
hf_120min_to_W_mean_ret_1,W,auto_panel,auto passthrough: hf_120min_to_W_mean_ret_1
hf_120min_to_W_mean_ret_12,W,auto_panel,auto passthrough: hf_120min_to_W_mean_ret_12
hf_120min_to_W_mean_ret_1d,W,auto_panel,auto passthrough: hf_120min_to_W_mean_ret_1d
hf_120min_to_W_mean_ret_20d,W,auto_panel,auto passthrough: hf_120min_to_W_mean_ret_20d
hf_120min_to_W_mean_ret_3,W,auto_panel,auto passthrough: hf_120min_to_W_mean_ret_3
hf_120min_to_W_mean_ret_5d,W,auto_panel,auto passthrough: hf_120min_to_W_mean_ret_5d
hf_120min_to_W_mean_ret_6,W,auto_panel,auto passthrough: hf_120min_to_W_mean_ret_6
hf_120min_to_W_mean_ret_vol_corr_20,W,auto_panel,auto passthrough: hf_120min_to_W_mean_ret_vol_corr_20
hf_120min_to_W_mean_rv_12,W,auto_panel,auto passthrough: hf_120min_to_W_mean_rv_12
hf_120min_to_W_mean_vol_chg_1,W,auto_panel,auto passthrough: hf_120min_to_W_mean_vol_chg_1
hf_120min_to_W_mean_volume,W,auto_panel,auto passthrough: hf_120min_to_W_mean_volume
hf_120min_to_W_std_amihud_20,W,auto_panel,auto passthrough: hf_120min_to_W_std_amihud_20
hf_120min_to_W_std_amount,W,auto_panel,auto passthrough: hf_120min_to_W_std_amount
hf_120min_to_W_std_amount_ratio_12,W,auto_panel,auto passthrough: hf_120min_to_W_std_amount_ratio_12
hf_120min_to_W_std_close,W,auto_panel,auto passthrough: hf_120min_to_W_std_close
hf_120min_to_W_std_close_to_vwap_day,W,auto_panel,auto passthrough: hf_120min_to_W_std_close_to_vwap_day
