signal_ts,code,entry_ts,exit_ts,entry_price,exit_price,pred_score,future_ret_ref,gross_trade_ret,net_trade_ret,weight_target,executed_weight,fill_ratio,realized_trade_ret,weighting_mode,industry_bucket,board_type
2024-07-05,sh.600000,2024-07-12,2024-08-02,8.27610524,8.22070249,0.5000000000000014,-0.0066943022586543055,-0.0066943022586543055,-0.007290106935895824,0.33333333333299997,0.33333333333299997,1.0,-0.007290106935895824,equal_weight,sh_60,main_board
2024-07-05,sh.600009,2024-07-12,2024-08-02,33.8509167,33.68267352,0.5000000000000014,-0.004970121828369645,-0.004970121828369645,-0.005566960703610069,0.33333333333299997,0.33333333333299997,1.0,-0.005566960703610069,equal_weight,sh_60,main_board
2024-07-05,sh.600010,2024-07-12,2024-08-02,1.43,1.46,0.5000000000000014,0.02097902097830695,0.02097902097830695,0.02036661728682776,0.33333333333299997,0.33333333333299997,1.0,0.02036661728682776,equal_weight,sh_60,main_board
2024-07-26,sh.600000,2024-08-02,2024-08-23,8.22070249,8.735103,0.5000000000000014,0.06257378984638784,0.06257378984638784,0.06193643677840033,0.33333333333299997,0.33333333333299997,1.0,0.06193643677840033,equal_weight,sh_60,main_board
2024-07-26,sh.600009,2024-08-02,2024-08-23,33.68267352,32.4268092,0.5000000000000014,-0.03728517331782655,-0.03728517331782655,-0.03786262897713788,0.33333333333299997,0.33333333333299997,1.0,-0.03786262897713788,equal_weight,sh_60,main_board
2024-07-26,sh.600010,2024-08-02,2024-08-23,1.46,1.42,0.5000000000000014,-0.027397260274638846,-0.027397260274638846,-0.027980646902485473,0.33333333333299997,0.33333333333299997,1.0,-0.027980646902485473,equal_weight,sh_60,main_board
2024-08-16,sh.600000,2024-08-23,2024-09-13,8.735103,8.10423445,0.5000000000000014,-0.07222222222232855,-0.07222222222232855,-0.07277872193908008,0.33333333333299997,0.33333333333299997,1.0,-0.07277872193908008,equal_weight,sh_60,main_board
2024-08-16,sh.600009,2024-08-23,2024-09-13,32.4268092,30.30280983,0.5000000000000014,-0.06550133739341013,-0.06550133739341013,-0.06606186843166251,0.33333333333299997,0.33333333333299997,1.0,-0.06606186843166251,equal_weight,sh_60,main_board
2024-08-16,sh.600010,2024-08-23,2024-09-13,1.42,1.39,0.5000000000000014,-0.021126760564069702,-0.021126760564069702,-0.021713908363391266,0.33333333333299997,0.33333333333299997,1.0,-0.021713908363391266,equal_weight,sh_60,main_board
2024-09-06,sh.600000,2024-09-13,2024-10-04,8.10423445,9.83184371,0.5000000000000014,0.21317365269446098,0.21317365269446098,0.21244596680861005,0.33333333333299997,0.33333333333299997,1.0,0.21244596680861005,equal_weight,sh_60,main_board
2024-09-06,sh.600009,2024-09-13,2024-10-04,30.30280983,37.81208034,0.5000000000000014,0.24780772978235577,0.24780772978235577,0.24705926968251646,0.33333333333299997,0.33333333333299997,1.0,0.24705926968251646,equal_weight,sh_60,main_board
2024-09-06,sh.600010,2024-09-13,2024-10-04,1.39,1.73,0.5000000000000014,0.24460431654586712,0.24460431654586712,0.2438577779175286,0.33333333333299997,0.33333333333299997,1.0,0.2438577779175286,equal_weight,sh_60,main_board
2024-09-27,sh.600000,2024-10-04,2024-10-25,9.83184371,9.78331536,0.5000000000000014,-0.004935834156073571,-0.004935834156073571,-0.005532693597747329,0.33333333333299997,0.33333333333299997,1.0,-0.005532693597747329,equal_weight,sh_60,main_board
2024-09-27,sh.600009,2024-10-04,2024-10-25,37.81208034,34.76113164,0.5000000000000014,-0.08068714211350692,-0.08068714211350692,-0.0812385644015523,0.33333333333299997,0.33333333333299997,1.0,-0.0812385644015523,equal_weight,sh_60,main_board
2024-09-27,sh.600010,2024-10-04,2024-10-25,1.73,1.68,0.5000000000000014,-0.028901734104607613,-0.028901734104607613,-0.029484218318880262,0.33333333333299997,0.33333333333299997,1.0,-0.029484218318880262,equal_weight,sh_60,main_board
2024-10-18,sh.600000,2024-10-25,2024-11-15,9.78331536,9.25920918,0.5000000000000014,-0.053571428571525415,-0.053571428571525415,-0.054139115408331384,0.33333333333299997,0.33333333333299997,1.0,-0.054139115408331384,equal_weight,sh_60,main_board
2024-10-18,sh.600009,2024-10-25,2024-11-15,34.76113164,35.71578333,0.5000000000000014,0.027463193657954577,0.027463193657954577,0.026846900629668102,0.33333333333299997,0.33333333333299997,1.0,0.026846900629668102,equal_weight,sh_60,main_board
2024-10-18,sh.600010,2024-10-25,2024-11-15,1.68,1.9,0.5000000000000014,0.1309523809517077,0.1309523809517077,0.1302740130335125,0.33333333333299997,0.33333333333299997,1.0,0.1302740130335125,equal_weight,sh_60,main_board
2024-11-08,sh.600000,2024-11-15,2024-12-06,9.25920918,9.4144999,0.5000000000000014,0.016771488469491835,0.016771488469491835,0.01616160854038884,0.33333333333299997,0.33333333333299997,1.0,0.01616160854038884,equal_weight,sh_60,main_board
