obs,ic_mean,ic_std,ic_ir,ic_positive_ratio,ic_tstat,rank_ic_mean,rank_ic_std,rank_ic_ir,rank_ic_positive_ratio,rank_ic_tstat,factor
6.0,0.4598859563924164,0.40981666630437197,5.633273043007374,0.8333333333333334,2.7487557868049506,0.4666666666666666,0.2732520204255892,8.573214099741126,1.0,4.183300132670378,g_trend_rel_ma_gap_5_to_ret_1d
6.0,0.5028253220258958,0.4569174867220088,5.524330228019619,0.8333333333333334,2.6955971362580664,0.26666666666666666,0.39327683210007,3.403851773587053,0.8333333333333334,1.6609095970747993,g_context_ratio_barra_size_proxy__barra_momentum_proxy
6.0,0.2475438720183094,0.2264198645660458,5.488301026806065,0.8333333333333334,2.678016686211774,0.39999999999999997,0.3577708763999663,5.612486080160912,0.6666666666666666,2.7386127875258306,g_reversal_ratio_ret_1d__overnight_gap
6.0,0.41744459454197536,0.42537934119317206,4.926321121749882,0.6666666666666666,2.403798571041804,0.39999999999999997,0.43817804600413285,4.582575694955841,0.5,2.2360679774997894,g_reversal_rel_signed_vol_imbalance_5m_to_ret_1d
6.0,0.36153082232940986,0.42482419242032327,4.272050313515147,0.8333333333333334,2.084547106299618,0.5,0.5621387729022078,4.465054183406904,0.6666666666666666,2.1787233516529754,g_reversal_ratio_ret_5d__overnight_gap
6.0,0.38347298208577946,0.4853561933318001,3.966198677691439,0.8333333333333334,1.9353067894437255,0.4000000000000001,0.3577708763999664,5.612486080160912,0.8333333333333334,2.7386127875258306,g_liquidity_ratio_vol_ratio_5__ret_vol_corr_20
6.0,0.2321464447266086,0.33779974602888296,3.4498720538673564,0.8333333333333334,1.6833651945161292,0.13333333333333333,0.5609515724790035,1.1932010784269858,0.5,0.5822225097395819,g_trend_ratio_ret_20d__ma_gap_5
6.0,0.31247601922268126,0.4844940738475048,3.237639533437078,0.8333333333333334,1.5798063284311497,0.46666666666666673,0.39327683210007003,5.956740603777343,0.8333333333333334,2.906591794880899,g_context_ratio_barra_size_proxy__barra_beta_proxy
6.0,0.2829072983227376,0.45196131612644164,3.142267525238815,0.8333333333333334,1.533269553552183,0.3333333333333333,0.3723797345005051,4.493585171364586,0.8333333333333334,2.192645048267573,g_liquidity_ratio_amount_ratio_20__ret_vol_corr_20
6.0,0.2755818257908305,0.44305259113870005,3.1224505030322853,0.6666666666666666,1.5235998368436956,0.3333333333333333,0.39327683210007003,4.254814716983816,0.6666666666666666,2.076136996343499,g_reversal_rel_close_pos_to_ret_1d
6.0,0.4680873977853766,0.7570923165869121,3.103690311508437,0.8333333333333334,1.5144458007053696,0.43333333333333335,0.585377371160405,3.7160918343604994,0.6666666666666666,1.81326714611793,g_trend_ratio_ret_3d__ma_gap_5
6.0,0.25547890682047675,0.41726675771966554,3.0735588446217053,0.8333333333333334,1.4997431503389655,0.46666666666666673,0.615358973824764,3.80696174744098,0.6666666666666666,1.8576071235199636,g_reversal_ratio_ret_3d__overnight_gap
6.0,0.3472564449872519,0.5783789173304049,3.0139644904572984,0.8333333333333334,1.4706640830507827,0.3333333333333333,0.5465040408511785,3.0618621784789726,0.6666666666666666,1.494035761667992,g_trend_rel_ret_3d_to_ret_1d
6.0,0.3719522663580044,0.7396748052265666,2.524333051564539,0.6666666666666666,1.2317484045841136,0.5,0.7014271166700072,3.5783904271027343,0.6666666666666666,1.7460757394239454,g_trend_ratio_ret_3d__ret_5d
6.0,0.3144627113396019,0.6863466000943271,2.299989950067882,0.8333333333333334,1.1222801800260696,0.16666666666666666,0.7312090444371341,1.1442145483554773,0.6666666666666666,0.5583195306044415,g_context_rel_barra_beta_proxy_to_barra_momentum_proxy
6.0,0.23276986524565557,0.5120748697329985,2.2818839956076085,0.6666666666666666,1.1134453788867777,0.26666666666666666,0.5609515724790034,2.386402156853972,0.5,1.164445019479164,g_context_ratio_barra_size_proxy__barra_volatility_proxy
6.0,0.25423114519016843,0.5841710545511474,2.1846858212859765,0.6666666666666666,1.0660175261813052,0.26666666666666666,0.615358973824764,2.175406712823417,0.6666666666666666,1.0614897848685505,breakout_strength_20
6.0,0.24991022913312558,0.7804494730047246,1.607457544683808,0.6666666666666666,0.7843589675592991,0.09999999999999998,0.589915248150105,0.850962943396763,0.5,0.4152273992686997,g_trend_ratio_ret_5d__ma_gap_5
6.0,0.17135043028993016,0.5405470692489688,1.5912995967457655,0.8333333333333334,0.7764746962735819,0.3333333333333333,0.5163977794943222,3.24037034920393,0.6666666666666666,1.5811388300841895,g_trend_ratio_ret_1d__ma_gap_5
6.0,0.224574524772602,0.7960948381393118,1.4161066158470121,0.6666666666666666,0.6909892748539997,0.10000000000000002,0.6418722614352484,0.7820808688600519,0.5,0.38161638848608836,g_volatility_ratio_intraday_range__minute_realized_vol_5m
6.0,0.14225083883230966,0.5277295732377616,1.3531429348756296,0.6666666666666666,0.6602661444274596,0.26666666666666666,0.48442405665559857,2.7633971188310302,0.5,1.3483997249264843,g_trend_rel_ma_gap_10_to_ret_1d
6.0,0.14544138616971822,0.5442791215829951,1.341425630929926,0.8333333333333334,0.6545486855397733,0.16666666666666666,0.6250333324444918,1.3385846531766814,0.5,0.6531624303414552,trend_vol_regime
