signal_ts,ic,rank_ic,n,factor
2024-04-01,0.35909699343512375,0.7999999999999999,4,g_liquidity_ratio_amount_ratio_20__amihud_20
2024-04-17,0.9227394340068515,0.7999999999999999,4,g_liquidity_ratio_amount_ratio_20__amihud_20
2024-05-06,0.6453715055831559,0.39999999999999997,4,g_liquidity_ratio_amount_ratio_20__amihud_20
2024-04-01,0.1564469373869362,0.39999999999999997,4,g_liquidity_ratio_turn_ratio_5__amihud_20
2024-04-17,0.7238060393590547,0.39999999999999997,4,g_liquidity_ratio_turn_ratio_5__amihud_20
2024-05-06,0.8308917410914409,0.7999999999999999,4,g_liquidity_ratio_turn_ratio_5__amihud_20
2024-04-01,-0.5206052161371342,-0.39999999999999997,4,g_volatility_ratio_jump_ratio_5m__minute_realized_vol_5m
2024-04-17,0.19826505862112875,0.6000000000000001,4,g_volatility_ratio_jump_ratio_5m__minute_realized_vol_5m
2024-05-06,0.2525105532940334,0.0,4,g_volatility_ratio_jump_ratio_5m__minute_realized_vol_5m
2024-04-01,-0.3173987642178583,-0.39999999999999997,4,g_volatility_ratio_downside_vol_ratio_20__minute_realized_vol_5m
2024-04-17,0.523589561022721,0.6000000000000001,4,g_volatility_ratio_downside_vol_ratio_20__minute_realized_vol_5m
2024-05-06,-0.4198574573562517,-0.6000000000000001,4,g_volatility_ratio_downside_vol_ratio_20__minute_realized_vol_5m
2024-04-01,-0.06536537653310028,0.0,4,g_volatility_rel_jump_ratio_5m_to_realized_vol_20
2024-04-17,0.3908118096004974,0.6000000000000001,4,g_volatility_rel_jump_ratio_5m_to_realized_vol_20
2024-05-06,0.41408793812492367,0.0,4,g_volatility_rel_jump_ratio_5m_to_realized_vol_20
2024-04-01,-0.030678594350078307,-0.39999999999999997,4,g_volatility_rel_minute_ret_kurt_5m_to_realized_vol_20
2024-04-17,-0.7798476093668507,-0.7999999999999999,4,g_volatility_rel_minute_ret_kurt_5m_to_realized_vol_20
2024-05-06,0.1265300936016682,0.0,4,g_volatility_rel_minute_ret_kurt_5m_to_realized_vol_20
2024-04-01,-0.8837009119668794,-0.7999999999999999,4,g_reversal_rel_close_pos_to_ret_1d
2024-04-17,0.49256652469142254,0.7999999999999999,4,g_reversal_rel_close_pos_to_ret_1d
2024-05-06,-0.6716740652690533,-0.7999999999999999,4,g_reversal_rel_close_pos_to_ret_1d
2024-04-01,-0.6713838870887567,-0.19999999999999998,4,g_reversal_rel_body_ratio_to_ret_1d
2024-04-17,0.581715165099975,0.7999999999999999,4,g_reversal_rel_body_ratio_to_ret_1d
2024-05-06,0.19141761042242297,-0.39999999999999997,4,g_reversal_rel_body_ratio_to_ret_1d
2024-04-01,-0.7204320762205967,-0.19999999999999998,4,g_reversal_rel_body_ratio_to_ret_3d
2024-04-17,-0.5341701144000435,-0.7999999999999999,4,g_reversal_rel_body_ratio_to_ret_3d
2024-05-06,-0.21031596588923565,0.0,4,g_reversal_rel_body_ratio_to_ret_3d
2024-04-01,0.7397202479934429,0.7999999999999999,4,g_reversal_rel_close_pos_to_ret_3d
2024-04-17,-0.8597012375783768,-0.7999999999999999,4,g_reversal_rel_close_pos_to_ret_3d
2024-05-06,-0.2103159673221663,-0.39999999999999997,4,g_reversal_rel_close_pos_to_ret_3d
2024-04-01,-0.9565683162475366,-0.7999999999999999,4,g_reversal_rel_signed_vol_imbalance_5m_to_ret_1d
2024-04-17,0.5983137745755079,0.6000000000000001,4,g_reversal_rel_signed_vol_imbalance_5m_to_ret_1d
2024-05-06,0.03123781440493636,-0.39999999999999997,4,g_reversal_rel_signed_vol_imbalance_5m_to_ret_1d
2024-04-01,-0.21000478845993573,-0.6000000000000001,4,g_reversal_ratio_ret_3d__overnight_gap
2024-04-17,0.8437562965899532,0.7999999999999999,4,g_reversal_ratio_ret_3d__overnight_gap
2024-05-06,0.9493276833370319,0.39999999999999997,4,g_reversal_ratio_ret_3d__overnight_gap
2024-04-01,0.14854016397735148,0.6000000000000001,4,g_volatility_rel_downside_vol_ratio_20_to_realized_vol_20
2024-04-17,0.8412752920811173,0.7999999999999999,4,g_volatility_rel_downside_vol_ratio_20_to_realized_vol_20
2024-05-06,-0.3634384989183747,0.19999999999999998,4,g_volatility_rel_downside_vol_ratio_20_to_realized_vol_20
2024-04-01,-0.2100047868476492,0.39999999999999997,4,g_reversal_ratio_ret_5d__overnight_gap
2024-04-17,0.6570833059746735,0.7999999999999999,4,g_reversal_ratio_ret_5d__overnight_gap
2024-05-06,0.4774676874845132,0.39999999999999997,4,g_reversal_ratio_ret_5d__overnight_gap
2024-04-01,-0.16728841744544562,0.0,4,hf_ultra_noise_5m_day
2024-04-17,0.5479010798924043,0.6000000000000001,4,hf_ultra_noise_5m_day
2024-05-06,0.9778756047923707,0.39999999999999997,4,hf_ultra_noise_5m_day
2024-04-01,-0.1834823498440849,0.0,4,hf_fast_slow_noise_diff
2024-04-17,0.3028167878060858,0.7999999999999999,4,hf_fast_slow_noise_diff
2024-05-06,0.9618817674458261,0.7999999999999999,4,hf_fast_slow_noise_diff
2024-04-01,-0.2100047905779494,-0.39999999999999997,4,g_reversal_ratio_ret_1d__overnight_gap
2024-04-17,0.3960003804266902,0.39999999999999997,4,g_reversal_ratio_ret_1d__overnight_gap
2024-05-06,-0.024777662368664192,-0.39999999999999997,4,g_reversal_ratio_ret_1d__overnight_gap
2024-04-01,-0.22540721634058977,0.0,4,g_volatility_ratio_downside_vol_ratio_20__intraday_range
2024-04-17,0.609987519128563,0.7999999999999999,4,g_volatility_ratio_downside_vol_ratio_20__intraday_range
2024-05-06,-0.3703340712700199,0.39999999999999997,4,g_volatility_ratio_downside_vol_ratio_20__intraday_range
2024-04-01,-0.8351308172749796,-0.39999999999999997,4,g_reversal_rel_signed_vol_imbalance_5m_to_ret_3d
2024-04-17,-0.5550119981065407,-0.19999999999999998,4,g_reversal_rel_signed_vol_imbalance_5m_to_ret_3d
2024-05-06,-0.21031596668148564,0.0,4,g_reversal_rel_signed_vol_imbalance_5m_to_ret_3d
2024-04-01,0.21581458971160036,0.0,4,g_trend_rel_ret_20d_to_ret_1d
2024-04-17,-0.3474626275969624,-0.39999999999999997,4,g_trend_rel_ret_20d_to_ret_1d
2024-05-06,0.14758700515643736,0.0,4,g_trend_rel_ret_20d_to_ret_1d
2024-04-01,0.9587435196702434,0.7999999999999999,4,g_trend_ratio_ret_20d__ma_gap_5
2024-04-17,-0.8377014866347299,-0.7999999999999999,4,g_trend_ratio_ret_20d__ma_gap_5
2024-05-06,-0.33490847197130474,-0.6000000000000001,4,g_trend_ratio_ret_20d__ma_gap_5
2024-04-01,0.8851671745130725,0.7999999999999999,4,g_liquidity_ratio_vol_ratio_20__ret_vol_corr_20
2024-04-17,0.12574016594107382,0.6000000000000001,4,g_liquidity_ratio_vol_ratio_20__ret_vol_corr_20
2024-05-06,-0.41307509368218154,-0.7999999999999999,4,g_liquidity_ratio_vol_ratio_20__ret_vol_corr_20
2024-04-01,-0.4200020465450694,-0.19999999999999998,4,g_volatility_ratio_atr_norm_14__minute_realized_vol_5m
2024-04-17,-0.0843572271717678,0.0,4,g_volatility_ratio_atr_norm_14__minute_realized_vol_5m
2024-05-06,-0.07942074898682376,-0.7999999999999999,4,g_volatility_ratio_atr_norm_14__minute_realized_vol_5m
2024-04-01,-0.12064767535421579,-0.19999999999999998,4,g_volatility_ratio_intraday_range__minute_realized_vol_5m
2024-04-17,0.5133337142509717,0.6000000000000001,4,g_volatility_ratio_intraday_range__minute_realized_vol_5m
2024-05-06,0.0498663505864868,-0.39999999999999997,4,g_volatility_ratio_intraday_range__minute_realized_vol_5m
2024-04-01,0.677343277526098,0.39999999999999997,4,g_trend_rel_ret_10d_to_ret_1d
2024-04-17,-0.597067949169681,-0.19999999999999998,4,g_trend_rel_ret_10d_to_ret_1d
2024-05-06,0.4380129533289556,0.39999999999999997,4,g_trend_rel_ret_10d_to_ret_1d
2024-04-01,0.9838615302051543,1.0,4,g_trend_rel_ret_20d_to_ret_3d
2024-04-17,-0.8164055264537929,-0.7999999999999999,4,g_trend_rel_ret_20d_to_ret_3d
2024-05-06,0.21031596208811662,-0.6000000000000001,4,g_trend_rel_ret_20d_to_ret_3d
2024-04-01,-0.35709445404893403,-0.19999999999999998,4,g_trend_ratio_ret_10d__ma_gap_5
2024-04-17,-0.7158817379334446,-0.19999999999999998,4,g_trend_ratio_ret_10d__ma_gap_5
2024-05-06,-0.1599942251553326,0.39999999999999997,4,g_trend_ratio_ret_10d__ma_gap_5
2024-04-01,0.9930459164600131,1.0,4,g_trend_rel_ma_cross_5_20_to_ret_1d
2024-04-17,-0.5687724837398831,-0.39999999999999997,4,g_trend_rel_ma_cross_5_20_to_ret_1d
2024-05-06,0.10503381181812645,0.39999999999999997,4,g_trend_rel_ma_cross_5_20_to_ret_1d
2024-04-01,0.7762579505361334,0.39999999999999997,4,g_trend_rel_ma_gap_20_to_ret_1d
2024-04-17,-0.3650532724037945,-0.19999999999999998,4,g_trend_rel_ma_gap_20_to_ret_1d
2024-05-06,0.2980270450673589,0.39999999999999997,4,g_trend_rel_ma_gap_20_to_ret_1d
2024-04-01,-0.10036931720256961,-0.39999999999999997,4,hf_noise_to_signal
2024-04-17,0.4110145738530845,0.19999999999999998,4,hf_noise_to_signal
2024-05-06,-0.07297028765595483,0.0,4,hf_noise_to_signal
2024-04-01,0.7018293657181449,0.6000000000000001,4,g_trend_rel_breakout_20_to_ret_1d
2024-04-17,0.5164169427156096,0.39999999999999997,4,g_trend_rel_breakout_20_to_ret_1d
2024-05-06,0.5739736035147411,0.39999999999999997,4,g_trend_rel_breakout_20_to_ret_1d
2024-04-01,0.9831385285561302,1.0,4,g_trend_rel_ret_5d_to_ret_1d
2024-04-17,-0.1541317838253356,0.0,4,g_trend_rel_ret_5d_to_ret_1d
2024-05-06,0.2286461963296224,0.39999999999999997,4,g_trend_rel_ret_5d_to_ret_1d
2024-04-01,-0.27990356131417776,-0.39999999999999997,4,momentum_quality_20
2024-04-17,-0.1449662894999789,-0.39999999999999997,4,momentum_quality_20
2024-05-06,0.9165917816234654,0.39999999999999997,4,momentum_quality_20
2024-04-01,-0.5174759518391304,-0.19999999999999998,4,g_trend_rel_ret_10d_to_ret_3d
2024-04-17,-0.7579313467317341,-0.7999999999999999,4,g_trend_rel_ret_10d_to_ret_3d
2024-05-06,0.2103159694599448,0.0,4,g_trend_rel_ret_10d_to_ret_3d
2024-04-01,0.9232479852523525,1.0,4,g_trend_ratio_ret_5d__ma_gap_5
2024-04-17,-0.41944803194508473,-0.39999999999999997,4,g_trend_ratio_ret_5d__ma_gap_5
2024-05-06,-0.28283533120061527,0.19999999999999998,4,g_trend_ratio_ret_5d__ma_gap_5
2024-04-01,0.8450448970618567,0.7999999999999999,4,g_trend_rel_ma_gap_10_to_ret_1d
2024-04-17,-0.008918133037943542,-0.39999999999999997,4,g_trend_rel_ma_gap_10_to_ret_1d
2024-05-06,0.2804195503399694,0.39999999999999997,4,g_trend_rel_ma_gap_10_to_ret_1d
