date,code,fund_mo_cf916e1ce7
2020-07-27,sh.600000,
2020-07-27,sh.600009,
2020-07-27,sh.600010,
2020-07-27,sh.600011,
2020-07-27,sh.600015,
2020-07-28,sh.600000,
2020-07-28,sh.600009,
2020-07-28,sh.600010,
2020-07-28,sh.600011,
2020-07-28,sh.600015,
2020-07-29,sh.600000,
2020-07-29,sh.600009,
2020-07-29,sh.600010,
2020-07-29,sh.600011,
2020-07-29,sh.600015,
2020-07-30,sh.600000,
2020-07-30,sh.600009,
2020-07-30,sh.600010,
2020-07-30,sh.600011,
2020-07-30,sh.600015,
2020-07-31,sh.600000,
2020-07-31,sh.600009,
2020-07-31,sh.600010,
2020-07-31,sh.600011,
2020-07-31,sh.600015,
2020-08-03,sh.600000,
2020-08-03,sh.600009,
2020-08-03,sh.600010,
2020-08-03,sh.600011,
2020-08-03,sh.600015,
2020-08-04,sh.600000,
2020-08-04,sh.600009,
2020-08-04,sh.600010,
2020-08-04,sh.600011,
2020-08-04,sh.600015,
2020-08-05,sh.600000,
2020-08-05,sh.600009,
2020-08-05,sh.600010,
2020-08-05,sh.600011,
2020-08-05,sh.600015,
2020-08-06,sh.600000,
2020-08-06,sh.600009,
2020-08-06,sh.600010,
2020-08-06,sh.600011,
2020-08-06,sh.600015,
2020-08-07,sh.600000,-0.08547504950617095
2020-08-07,sh.600009,-1.8827091867469423
2020-08-07,sh.600010,0.9750101624934164
2020-08-07,sh.600011,0.5427278360139507
2020-08-07,sh.600015,0.45044623774574605
2020-08-10,sh.600000,-0.08655948919520433
2020-08-10,sh.600009,-1.88226154645903
2020-08-10,sh.600010,0.9761560960476965
2020-08-10,sh.600011,0.5412009472533099
2020-08-10,sh.600015,0.4514639923532278
2020-08-11,sh.600000,-0.08983905919302275
2020-08-11,sh.600009,-1.881302674956453
2020-08-11,sh.600010,0.9769138271654899
2020-08-11,sh.600011,0.5419692621162934
2020-08-11,sh.600015,0.45225864486769213
2020-08-12,sh.600000,-0.0905038812840225
2020-08-12,sh.600009,-1.8807803986362266
2020-08-12,sh.600010,0.9792373597886785
2020-08-12,sh.600011,0.5377953818533926
2020-08-12,sh.600015,0.45425153827817794
2020-08-13,sh.600000,-0.08667408333307224
2020-08-13,sh.600009,-1.8806959899911284
2020-08-13,sh.600010,0.985783968793902
2020-08-13,sh.600011,0.521974160918127
2020-08-13,sh.600015,0.4596119436121716
2020-08-14,sh.600000,-0.0849655877675352
2020-08-14,sh.600009,-1.881175412163313
2020-08-14,sh.600010,0.9854948710682203
2020-08-14,sh.600011,0.5213582189955409
2020-08-14,sh.600015,0.45928790986708706
2020-08-17,sh.600000,-0.07722737568620375
2020-08-17,sh.600009,-1.883518802860195
2020-08-17,sh.600010,0.9830675328654842
2020-08-17,sh.600011,0.5208026645841591
2020-08-17,sh.600015,0.4568759810967556
2020-08-18,sh.600000,-0.07516198721200934
2020-08-18,sh.600009,-1.883097424333382
2020-08-18,sh.600010,0.988321215339182
2020-08-18,sh.600011,0.5086955519732654
2020-08-18,sh.600015,0.4612426442329439
2020-08-19,sh.600000,-0.06812210941278334
2020-08-19,sh.600009,-1.8789864386129074
2020-08-19,sh.600010,1.0149730054927215
2020-08-19,sh.600011,0.4571010268480566
2020-08-19,sh.600015,0.4750345156849126
2020-08-20,sh.600000,-0.10815857402504529
2020-08-20,sh.600009,-1.8526119282455369
2020-08-20,sh.600010,1.0785105045671308
2020-08-20,sh.600011,0.3978027213576601
2020-08-20,sh.600015,0.4844572763457913
2020-08-21,sh.600000,-0.11155341467271168
2020-08-21,sh.600009,-1.8505936910230132
2020-08-21,sh.600010,1.0822881979166856
2020-08-21,sh.600011,0.39283787146636284
2020-08-21,sh.600015,0.4870210363126764
2020-08-24,sh.600000,-0.10344722279168596
2020-08-24,sh.600009,-1.8564855173285937
2020-08-24,sh.600010,1.0688663866366122
2020-08-24,sh.600011,0.4050040488995107
2020-08-24,sh.600015,0.4860623045841569
2020-08-25,sh.600000,-0.08060724041180914
2020-08-25,sh.600009,-1.8714011870698504
2020-08-25,sh.600010,1.0340157560546337
