factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
g_volatility_ratio_atr_norm_14__minute_realized_vol_5m,D,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·atr标准化14/minuterealized成交量5m比值,衡量 atr标准化14 相对 minuterealized成交量5m 的比例关系，体现结构性偏离。,g_volatility_ratio_atr_norm_14__minute_realized_vol_5m = 列(atr标准化14) / (|列(minuterealized成交量5m)| + EPS),g_volatility ratio atr_norm_14/minute_realized_vol_5m,True,price_volume
g_volatility_ratio_downside_vol_ratio_20__intraday_range,D,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·downside成交量ratio20/日内振幅比值,衡量 downside成交量ratio20 相对 日内振幅 的比例关系，体现结构性偏离。,g_volatility_ratio_downside_vol_ratio_20__intraday_range = 列(downside成交量ratio20) / (|列(日内振幅)| + EPS),g_volatility ratio downside_vol_ratio_20/intraday_range,True,price_volume
g_volatility_ratio_downside_vol_ratio_20__minute_realized_vol_5m,D,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·downside成交量ratio20/minuterealized成交量5m比值,衡量 downside成交量ratio20 相对 minuterealized成交量5m 的比例关系，体现结构性偏离。,g_volatility_ratio_downside_vol_ratio_20__minute_realized_vol_5m = 列(downside成交量ratio20) / (|列(minuterealized成交量5m)| + EPS),g_volatility ratio downside_vol_ratio_20/minute_realized_vol_5m,True,price_volume
g_volatility_ratio_intraday_range__minute_realized_vol_5m,D,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·日内振幅/minuterealized成交量5m比值,衡量 日内振幅 相对 minuterealized成交量5m 的比例关系，体现结构性偏离。,g_volatility_ratio_intraday_range__minute_realized_vol_5m = 列(日内振幅) / (|列(minuterealized成交量5m)| + EPS),g_volatility ratio intraday_range/minute_realized_vol_5m,True,price_volume
g_volatility_ratio_jump_ratio_5m__minute_realized_vol_5m,D,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·跳跃ratio5m/minuterealized成交量5m比值,衡量 跳跃ratio5m 相对 minuterealized成交量5m 的比例关系，体现结构性偏离。,g_volatility_ratio_jump_ratio_5m__minute_realized_vol_5m = 列(跳跃ratio5m) / (|列(minuterealized成交量5m)| + EPS),g_volatility ratio jump_ratio_5m/minute_realized_vol_5m,True,price_volume
g_volatility_ratio_realized_vol_20__minute_realized_vol_5m,D,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·realized成交量20/minuterealized成交量5m比值,衡量 realized成交量20 相对 minuterealized成交量5m 的比例关系，体现结构性偏离。,g_volatility_ratio_realized_vol_20__minute_realized_vol_5m = 列(realized成交量20) / (|列(minuterealized成交量5m)| + EPS),g_volatility ratio realized_vol_20/minute_realized_vol_5m,True,price_volume
g_volatility_rel_downside_vol_ratio_20_to_realized_vol_20,D,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·downside成交量ratio20相对realized成交量20,衡量 downside成交量ratio20 相对锚点 realized成交量20 的偏离程度，反映相对强弱。,g_volatility_rel_downside_vol_ratio_20_to_realized_vol_20 = (列(downside成交量ratio20) - 列(realized成交量20)) / (|列(realized成交量20)| + EPS),g_volatility rel downside_vol_ratio_20 to realized_vol_20,True,price_volume
g_volatility_rel_jump_ratio_5m_to_atr_norm_14,D,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·跳跃ratio5m相对atr标准化14,衡量 跳跃ratio5m 相对锚点 atr标准化14 的偏离程度，反映相对强弱。,g_volatility_rel_jump_ratio_5m_to_atr_norm_14 = (列(跳跃ratio5m) - 列(atr标准化14)) / (|列(atr标准化14)| + EPS),g_volatility rel jump_ratio_5m to atr_norm_14,True,price_volume
g_volatility_rel_jump_ratio_5m_to_realized_vol_20,D,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·跳跃ratio5m相对realized成交量20,衡量 跳跃ratio5m 相对锚点 realized成交量20 的偏离程度，反映相对强弱。,g_volatility_rel_jump_ratio_5m_to_realized_vol_20 = (列(跳跃ratio5m) - 列(realized成交量20)) / (|列(realized成交量20)| + EPS),g_volatility rel jump_ratio_5m to realized_vol_20,True,price_volume
g_volatility_rel_minute_ret_kurt_5m_to_realized_vol_20,D,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·minute收益kurt5m相对realized成交量20,衡量 minute收益kurt5m 相对锚点 realized成交量20 的偏离程度，反映相对强弱。,g_volatility_rel_minute_ret_kurt_5m_to_realized_vol_20 = (列(minute收益kurt5m) - 列(realized成交量20)) / (|列(realized成交量20)| + EPS),g_volatility rel minute_ret_kurt_5m to realized_vol_20,True,price_volume
