factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
text_event_diff_txt_action_mean__txt_news_count,D,Text Packages,text_event,text_event,金融文本事件包·文本actionmean-文本新闻count差值,比较 文本actionmean 与 文本新闻count 的相对强弱，突出两者差异变化。,text_event_diff_txt_action_mean__txt_news_count = 列(文本actionmean) - 列(文本新闻count),text_event diff txt_action_mean-txt_news_count,True,text
text_event_diff_txt_action_mean__txt_risk_20,D,Text Packages,text_event,text_event,金融文本事件包·文本actionmean-文本风险20差值,比较 文本actionmean 与 文本风险20 的相对强弱，突出两者差异变化。,text_event_diff_txt_action_mean__txt_risk_20 = 列(文本actionmean) - 列(文本风险20),text_event diff txt_action_mean-txt_risk_20,True,text
text_event_diff_txt_action_mean__txt_risk_5,D,Text Packages,text_event,text_event,金融文本事件包·文本actionmean-文本风险5差值,比较 文本actionmean 与 文本风险5 的相对强弱，突出两者差异变化。,text_event_diff_txt_action_mean__txt_risk_5 = 列(文本actionmean) - 列(文本风险5),text_event diff txt_action_mean-txt_risk_5,True,text
text_event_diff_txt_action_mean__txt_uncertainty_20,D,Text Packages,text_event,text_event,金融文本事件包·文本actionmean-文本不确定性20差值,比较 文本actionmean 与 文本不确定性20 的相对强弱，突出两者差异变化。,text_event_diff_txt_action_mean__txt_uncertainty_20 = 列(文本actionmean) - 列(文本不确定性20),text_event diff txt_action_mean-txt_uncertainty_20,True,text
text_event_diff_txt_action_mean__txt_uncertainty_5,D,Text Packages,text_event,text_event,金融文本事件包·文本actionmean-文本不确定性5差值,比较 文本actionmean 与 文本不确定性5 的相对强弱，突出两者差异变化。,text_event_diff_txt_action_mean__txt_uncertainty_5 = 列(文本actionmean) - 列(文本不确定性5),text_event diff txt_action_mean-txt_uncertainty_5,True,text
text_event_diff_txt_risk_20__txt_news_count,D,Text Packages,text_event,text_event,金融文本事件包·文本风险20-文本新闻count差值,比较 文本风险20 与 文本新闻count 的相对强弱，突出两者差异变化。,text_event_diff_txt_risk_20__txt_news_count = 列(文本风险20) - 列(文本新闻count),text_event diff txt_risk_20-txt_news_count,True,text
text_event_diff_txt_risk_20__txt_uncertainty_20,D,Text Packages,text_event,text_event,金融文本事件包·文本风险20-文本不确定性20差值,比较 文本风险20 与 文本不确定性20 的相对强弱，突出两者差异变化。,text_event_diff_txt_risk_20__txt_uncertainty_20 = 列(文本风险20) - 列(文本不确定性20),text_event diff txt_risk_20-txt_uncertainty_20,True,text
text_event_diff_txt_risk_20__txt_uncertainty_5,D,Text Packages,text_event,text_event,金融文本事件包·文本风险20-文本不确定性5差值,比较 文本风险20 与 文本不确定性5 的相对强弱，突出两者差异变化。,text_event_diff_txt_risk_20__txt_uncertainty_5 = 列(文本风险20) - 列(文本不确定性5),text_event diff txt_risk_20-txt_uncertainty_5,True,text
text_event_diff_txt_risk_5__txt_news_count,D,Text Packages,text_event,text_event,金融文本事件包·文本风险5-文本新闻count差值,比较 文本风险5 与 文本新闻count 的相对强弱，突出两者差异变化。,text_event_diff_txt_risk_5__txt_news_count = 列(文本风险5) - 列(文本新闻count),text_event diff txt_risk_5-txt_news_count,True,text
text_event_diff_txt_risk_5__txt_risk_20,D,Text Packages,text_event,text_event,金融文本事件包·文本风险5-文本风险20差值,比较 文本风险5 与 文本风险20 的相对强弱，突出两者差异变化。,text_event_diff_txt_risk_5__txt_risk_20 = 列(文本风险5) - 列(文本风险20),text_event diff txt_risk_5-txt_risk_20,True,text
text_event_diff_txt_risk_5__txt_uncertainty_20,D,Text Packages,text_event,text_event,金融文本事件包·文本风险5-文本不确定性20差值,比较 文本风险5 与 文本不确定性20 的相对强弱，突出两者差异变化。,text_event_diff_txt_risk_5__txt_uncertainty_20 = 列(文本风险5) - 列(文本不确定性20),text_event diff txt_risk_5-txt_uncertainty_20,True,text
text_event_diff_txt_risk_5__txt_uncertainty_5,D,Text Packages,text_event,text_event,金融文本事件包·文本风险5-文本不确定性5差值,比较 文本风险5 与 文本不确定性5 的相对强弱，突出两者差异变化。,text_event_diff_txt_risk_5__txt_uncertainty_5 = 列(文本风险5) - 列(文本不确定性5),text_event diff txt_risk_5-txt_uncertainty_5,True,text
text_event_diff_txt_risk_mean__txt_action_mean,D,Text Packages,text_event,text_event,金融文本事件包·文本风险mean-文本actionmean差值,比较 文本风险mean 与 文本actionmean 的相对强弱，突出两者差异变化。,text_event_diff_txt_risk_mean__txt_action_mean = 列(文本风险mean) - 列(文本actionmean),text_event diff txt_risk_mean-txt_action_mean,True,text
text_event_diff_txt_risk_mean__txt_news_count,D,Text Packages,text_event,text_event,金融文本事件包·文本风险mean-文本新闻count差值,比较 文本风险mean 与 文本新闻count 的相对强弱，突出两者差异变化。,text_event_diff_txt_risk_mean__txt_news_count = 列(文本风险mean) - 列(文本新闻count),text_event diff txt_risk_mean-txt_news_count,True,text
text_event_diff_txt_risk_mean__txt_risk_20,D,Text Packages,text_event,text_event,金融文本事件包·文本风险mean-文本风险20差值,比较 文本风险mean 与 文本风险20 的相对强弱，突出两者差异变化。,text_event_diff_txt_risk_mean__txt_risk_20 = 列(文本风险mean) - 列(文本风险20),text_event diff txt_risk_mean-txt_risk_20,True,text
text_event_diff_txt_risk_mean__txt_risk_5,D,Text Packages,text_event,text_event,金融文本事件包·文本风险mean-文本风险5差值,比较 文本风险mean 与 文本风险5 的相对强弱，突出两者差异变化。,text_event_diff_txt_risk_mean__txt_risk_5 = 列(文本风险mean) - 列(文本风险5),text_event diff txt_risk_mean-txt_risk_5,True,text
text_event_diff_txt_risk_mean__txt_uncertainty_20,D,Text Packages,text_event,text_event,金融文本事件包·文本风险mean-文本不确定性20差值,比较 文本风险mean 与 文本不确定性20 的相对强弱，突出两者差异变化。,text_event_diff_txt_risk_mean__txt_uncertainty_20 = 列(文本风险mean) - 列(文本不确定性20),text_event diff txt_risk_mean-txt_uncertainty_20,True,text
text_event_diff_txt_risk_mean__txt_uncertainty_5,D,Text Packages,text_event,text_event,金融文本事件包·文本风险mean-文本不确定性5差值,比较 文本风险mean 与 文本不确定性5 的相对强弱，突出两者差异变化。,text_event_diff_txt_risk_mean__txt_uncertainty_5 = 列(文本风险mean) - 列(文本不确定性5),text_event diff txt_risk_mean-txt_uncertainty_5,True,text
text_event_diff_txt_risk_mean__txt_uncertainty_mean,D,Text Packages,text_event,text_event,金融文本事件包·文本风险mean-文本不确定性mean差值,比较 文本风险mean 与 文本不确定性mean 的相对强弱，突出两者差异变化。,text_event_diff_txt_risk_mean__txt_uncertainty_mean = 列(文本风险mean) - 列(文本不确定性mean),text_event diff txt_risk_mean-txt_uncertainty_mean,True,text
