factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
hf_close_dispersion,D,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·hf收盘离散度,跨频桥接因子，刻画：120min→D 收盘 离散度,按定义计算：120min→D 收盘 离散度,120min->D close dispersion,False,price_volume
hf_close_vs_mean,D,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·hf收盘vsmean,跨频桥接因子，刻画：120min→D 末值 收盘 vs 均值 收盘,按定义计算：120min→D 末值 收盘 vs 均值 收盘,120min->D last close vs mean close,False,price_volume
hf_crowding_unwind,D,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·hf拥挤unwind,跨频桥接因子，刻画：120min→D 拥挤 反转,按定义计算：120min→D 拥挤 反转,120min->D crowding unwind,False,price_volume
hf_fast_slow_liquidity_diff,D,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·快慢频流动性差,"跨频桥接因子，刻画：fast=5min, slow=120min, target=D: 流动性 pulse difference","按定义计算：fast=5min, slow=120min, target=D: 流动性 pulse difference","fast=5min, slow=120min, target=D: liquidity pulse difference",False,price_volume
hf_fast_slow_liquidity_diff_day,D,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·hffastslow流动性diffday,跨频桥接因子，刻画：流动性 pulse: 5min→D 减 120min→D,按定义计算：流动性 pulse: 5min→D 减 120min→D,liquidity pulse: 5min->D minus 120min->D,False,price_volume
hf_fast_slow_noise_diff,D,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·快慢频噪声差,"跨频桥接因子，刻画：fast=5min, slow=120min, target=D: slow-噪声 减 fast-噪声","按定义计算：fast=5min, slow=120min, target=D: slow-噪声 减 fast-噪声","fast=5min, slow=120min, target=D: slow-noise minus fast-noise",False,price_volume
hf_fast_slow_trend_diff,D,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·快慢频趋势差,"跨频桥接因子，刻画：fast=5min, slow=120min, target=D: 趋势 difference","按定义计算：fast=5min, slow=120min, target=D: 趋势 difference","fast=5min, slow=120min, target=D: trend difference",False,price_volume
hf_fast_slow_trend_diff_day,D,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·hffastslow趋势diffday,跨频桥接因子，刻画：趋势 延续: 5min→D 减 120min→D,按定义计算：趋势 延续: 5min→D 减 120min→D,trend carry: 5min->D minus 120min->D,False,price_volume
hf_hilo_spread,D,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·hfhilospread,跨频桥接因子，刻画：120min→D 最高-最低 价差,按定义计算：120min→D 最高-最低 价差,120min->D high-low spread,False,price_volume
hf_liquidity_pulse,D,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·hf流动性pulse,跨频桥接因子，刻画：120min→D 流动性 pulse,按定义计算：120min→D 流动性 pulse,120min->D liquidity pulse,False,price_volume
hf_liquidity_trend_sync,D,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·hf流动性趋势同步,跨频桥接因子，刻画：120min→D 流动性 pulse * 趋势,按定义计算：120min→D 流动性 pulse * 趋势,120min->D liquidity pulse * trend,False,price_volume
hf_micro_regime_shift,D,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·hf微观regimeshift,跨频桥接因子，刻画：120min→D medium-short 噪声 价差,按定义计算：120min→D medium-short 噪声 价差,120min->D medium-short noise spread,False,price_volume
hf_noise_to_signal,D,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·hf噪声to信号,跨频桥接因子，刻画：120min→D 收益 噪声-到-信号,按定义计算：120min→D 收益 噪声-到-信号,120min->D return noise-to-signal,False,price_volume
hf_trend_carry,D,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·hf趋势延续,跨频桥接因子，刻画：120min→D 趋势 延续,按定义计算：120min→D 趋势 延续,120min->D trend carry,False,price_volume
hf_ultra_noise_5m_day,D,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·hfultra噪声5mday,跨频桥接因子，刻画：5min→D 噪声-到-信号,按定义计算：5min→D 噪声-到-信号,5min->D noise-to-signal,False,price_volume
hf_vol_compression,D,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·hf成交量压缩,跨频桥接因子，刻画：120min→D 波动率 压缩,按定义计算：120min→D 波动率 压缩,120min->D volatility compression,False,price_volume
