factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
hf_close_dispersion,30min,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·hf收盘离散度,跨频桥接因子，刻画：15min→30min 收盘 离散度,按定义计算：15min→30min 收盘 离散度,15min->30min close dispersion,True,price_volume
hf_close_vs_mean,30min,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·hf收盘vsmean,跨频桥接因子，刻画：15min→30min 末值 收盘 vs 均值 收盘,按定义计算：15min→30min 末值 收盘 vs 均值 收盘,15min->30min last close vs mean close,True,price_volume
hf_crowding_unwind,30min,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·hf拥挤unwind,跨频桥接因子，刻画：15min→30min 拥挤 反转,按定义计算：15min→30min 拥挤 反转,15min->30min crowding unwind,True,price_volume
hf_fast_slow_liquidity_diff,30min,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·快慢频流动性差,"跨频桥接因子，刻画：fast=5min, slow=15min, target=30min: 流动性 pulse difference","按定义计算：fast=5min, slow=15min, target=30min: 流动性 pulse difference","fast=5min, slow=15min, target=30min: liquidity pulse difference",True,price_volume
hf_fast_slow_noise_diff,30min,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·快慢频噪声差,"跨频桥接因子，刻画：fast=5min, slow=15min, target=30min: slow-噪声 减 fast-噪声","按定义计算：fast=5min, slow=15min, target=30min: slow-噪声 减 fast-噪声","fast=5min, slow=15min, target=30min: slow-noise minus fast-noise",True,price_volume
hf_fast_slow_trend_diff,30min,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·快慢频趋势差,"跨频桥接因子，刻画：fast=5min, slow=15min, target=30min: 趋势 difference","按定义计算：fast=5min, slow=15min, target=30min: 趋势 difference","fast=5min, slow=15min, target=30min: trend difference",True,price_volume
hf_hilo_spread,30min,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·hfhilospread,跨频桥接因子，刻画：15min→30min 最高-最低 价差,按定义计算：15min→30min 最高-最低 价差,15min->30min high-low spread,True,price_volume
hf_liquidity_pulse,30min,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·hf流动性pulse,跨频桥接因子，刻画：15min→30min 流动性 pulse,按定义计算：15min→30min 流动性 pulse,15min->30min liquidity pulse,True,price_volume
hf_liquidity_trend_sync,30min,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·hf流动性趋势同步,跨频桥接因子，刻画：15min→30min 流动性 pulse * 趋势,按定义计算：15min→30min 流动性 pulse * 趋势,15min->30min liquidity pulse * trend,True,price_volume
hf_micro_regime_shift,30min,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·hf微观regimeshift,跨频桥接因子，刻画：15min→30min medium-short 噪声 价差,按定义计算：15min→30min medium-short 噪声 价差,15min->30min medium-short noise spread,True,price_volume
hf_noise_to_signal,30min,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·hf噪声to信号,跨频桥接因子，刻画：15min→30min 收益 噪声-到-信号,按定义计算：15min→30min 收益 噪声-到-信号,15min->30min return noise-to-signal,True,price_volume
hf_trend_carry,30min,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·hf趋势延续,跨频桥接因子，刻画：15min→30min 趋势 延续,按定义计算：15min→30min 趋势 延续,15min->30min trend carry,True,price_volume
hf_vol_compression,30min,Price-Volume / Non-Fundamental Packages,multi_freq,multi_freq,跨频桥接·hf成交量压缩,跨频桥接因子，刻画：15min→30min 波动率 压缩,按定义计算：15min→30min 波动率 压缩,15min->30min volatility compression,True,price_volume
