factor,factor_freq,factor_group,factor_package,start_time,end_time,obs_count,code_count,updated_at
bridge_120min_close_dev,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.608666+08:00
bridge_120min_close_disp,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.611651+08:00
bridge_120min_crowd_unwind,D,price_volume,bridge,2023-07-27 00:00:00,2025-12-19 00:00:00,8735,15,2026-04-23T20:19:56.614725+08:00
bridge_120min_hilo_spread,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.617630+08:00
bridge_120min_liq_pressure,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.620680+08:00
bridge_120min_liq_pulse,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.623596+08:00
bridge_120min_liq_trend_sync,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.626586+08:00
bridge_120min_micro_shift,D,price_volume,bridge,2023-07-26 00:00:00,2025-12-19 00:00:00,8750,15,2026-04-23T20:19:56.630056+08:00
bridge_120min_noise,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.632953+08:00
bridge_120min_ret3_std,D,price_volume,bridge,2023-07-26 00:00:00,2025-12-19 00:00:00,8750,15,2026-04-23T20:19:56.635992+08:00
bridge_120min_trend_carry,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.638819+08:00
bridge_120min_vol_comp,D,price_volume,bridge,2023-07-28 00:00:00,2025-12-19 00:00:00,8720,15,2026-04-23T20:19:56.642348+08:00
bridge_15min_close_dev,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.645357+08:00
bridge_15min_close_disp,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.647745+08:00
bridge_15min_crowd_unwind,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.652713+08:00
bridge_15min_hilo_spread,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.660764+08:00
bridge_15min_liq_pressure,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.668577+08:00
bridge_15min_liq_pulse,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.676081+08:00
bridge_15min_liq_trend_sync,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.683036+08:00
bridge_15min_micro_shift,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.687385+08:00
bridge_15min_noise,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.690391+08:00
bridge_15min_ret3_std,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.693917+08:00
bridge_15min_trend_carry,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.697214+08:00
bridge_15min_vol_comp,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.700345+08:00
bridge_30min_close_dev,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.703888+08:00
bridge_30min_close_disp,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.706921+08:00
bridge_30min_crowd_unwind,D,price_volume,bridge,2023-07-26 00:00:00,2025-12-19 00:00:00,8750,15,2026-04-23T20:19:56.709939+08:00
bridge_30min_hilo_spread,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.712990+08:00
bridge_30min_liq_pressure,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.715904+08:00
bridge_30min_liq_pulse,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.718851+08:00
bridge_30min_liq_trend_sync,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.721794+08:00
bridge_30min_micro_shift,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.724585+08:00
bridge_30min_noise,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.727746+08:00
bridge_30min_ret3_std,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.731300+08:00
bridge_30min_trend_carry,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.734232+08:00
bridge_30min_vol_comp,D,price_volume,bridge,2023-07-26 00:00:00,2025-12-19 00:00:00,8750,15,2026-04-23T20:19:56.737144+08:00
bridge_5min_close_dev,D,price_volume,bridge,2023-07-25 00:00:00,2025-12-19 00:00:00,8765,15,2026-04-23T20:19:56.740089+08:00
