signal_ts,ic,rank_ic,n,factor
2024-10-08,-0.03364075633627248,0.016182472989195677,50,g_context_ratio_barra_momentum_proxy__barra_liquidity_proxy
2024-10-15,-0.012325598792719016,-0.010708283313325332,50,g_context_ratio_barra_momentum_proxy__barra_liquidity_proxy
2024-10-22,-0.053239760772119504,-0.021368547418967588,50,g_context_ratio_barra_momentum_proxy__barra_liquidity_proxy
2024-10-29,0.26205823423262065,0.1443877551020408,49,g_context_ratio_barra_momentum_proxy__barra_liquidity_proxy
2024-11-05,0.07713831232456322,0.019285714285714285,49,g_context_ratio_barra_momentum_proxy__barra_liquidity_proxy
2024-11-12,-0.509074945039923,-0.49973589435774307,50,g_context_ratio_barra_momentum_proxy__barra_liquidity_proxy
2024-11-19,0.04187472320156632,0.005330132052821128,50,g_context_ratio_barra_momentum_proxy__barra_liquidity_proxy
2024-11-26,0.12795471549372042,0.1624489795918367,50,g_context_ratio_barra_momentum_proxy__barra_liquidity_proxy
2024-12-03,0.11990277543650621,0.18770708283313325,50,g_context_ratio_barra_momentum_proxy__barra_liquidity_proxy
2024-12-10,0.2256121258661375,0.2899879951980792,50,g_context_ratio_barra_momentum_proxy__barra_liquidity_proxy
2024-12-17,-0.000868899653185628,0.018775510204081632,50,g_context_ratio_barra_momentum_proxy__barra_liquidity_proxy
2024-10-08,0.0653213298293083,0.03423769507803121,50,g_liquidity_ratio_amount_ratio_20__amihud_20
2024-10-15,-0.024311582727876414,-0.07198079231692676,50,g_liquidity_ratio_amount_ratio_20__amihud_20
2024-10-22,0.038721040938025676,0.010228091236494596,50,g_liquidity_ratio_amount_ratio_20__amihud_20
2024-10-29,0.04983326324420894,-0.06051020408163265,49,g_liquidity_ratio_amount_ratio_20__amihud_20
2024-11-05,0.1085145821908318,0.12051020408163263,49,g_liquidity_ratio_amount_ratio_20__amihud_20
2024-11-12,-0.10667048856825312,-0.08801920768307324,50,g_liquidity_ratio_amount_ratio_20__amihud_20
2024-11-19,0.02330620062099248,0.08715486194477791,50,g_liquidity_ratio_amount_ratio_20__amihud_20
2024-11-26,-0.30651169390270844,-0.3397358943577431,50,g_liquidity_ratio_amount_ratio_20__amihud_20
2024-12-03,-0.15921660128257248,-0.20547418967587033,50,g_liquidity_ratio_amount_ratio_20__amihud_20
2024-12-10,-0.19303208552637743,-0.29603841536614645,50,g_liquidity_ratio_amount_ratio_20__amihud_20
2024-12-17,0.06336181525661326,0.17656662665066022,50,g_liquidity_ratio_amount_ratio_20__amihud_20
2024-10-08,0.03725883805204496,0.21469387755102037,50,g_context_ratio_barra_size_proxy__barra_liquidity_proxy
2024-10-15,-0.08417975301383043,-0.085906362545018,50,g_context_ratio_barra_size_proxy__barra_liquidity_proxy
2024-10-22,-0.14000953085190795,-0.06448979591836734,50,g_context_ratio_barra_size_proxy__barra_liquidity_proxy
2024-10-29,0.037222167027491135,-0.1126530612244898,49,g_context_ratio_barra_size_proxy__barra_liquidity_proxy
2024-11-05,0.0520786608145042,0.004081632653061224,49,g_context_ratio_barra_size_proxy__barra_liquidity_proxy
2024-11-12,-0.1026588478100032,-0.07966386554621849,50,g_context_ratio_barra_size_proxy__barra_liquidity_proxy
2024-11-19,-0.01857646003090887,-0.017334933973589435,50,g_context_ratio_barra_size_proxy__barra_liquidity_proxy
2024-11-26,-0.14730894737353603,-0.25214885954381755,50,g_context_ratio_barra_size_proxy__barra_liquidity_proxy
2024-12-03,-0.1454578014820363,-0.19529411764705884,50,g_context_ratio_barra_size_proxy__barra_liquidity_proxy
2024-12-10,-0.12256054866428133,-0.17781512605042016,50,g_context_ratio_barra_size_proxy__barra_liquidity_proxy
2024-12-17,0.09253727192542431,0.08081632653061224,50,g_context_ratio_barra_size_proxy__barra_liquidity_proxy
2024-10-08,-0.20916800134581273,-0.020888355342136854,50,g_structure_rel_rsi14_to_vwap30_vs_day
2024-10-15,0.4474241530513297,0.1532292917166867,50,g_structure_rel_rsi14_to_vwap30_vs_day
2024-10-22,-0.020613583013626088,-0.1563985594237695,50,g_structure_rel_rsi14_to_vwap30_vs_day
2024-10-29,0.11797905937664026,0.0034693877551020403,49,g_structure_rel_rsi14_to_vwap30_vs_day
2024-11-05,-0.1333090904776258,-0.33979591836734696,49,g_structure_rel_rsi14_to_vwap30_vs_day
