factor,freq,category,description
amihud_1d,D,auto_panel,auto passthrough: amihud_1d
amihud_20,D,liquidity,negative amihud20
amihud_reversal_20,D,liquidity,illiquidity reversal
amount,D,auto_panel,auto passthrough: amount
amount_ma20,D,auto_panel,auto passthrough: amount_ma20
amount_ratio_20,D,liquidity,amount/amount_ma20
atr14,D,auto_panel,auto passthrough: atr14
atr_norm_14,D,volatility,atr14 norm negative
barra_beta_proxy,D,auto_panel,auto passthrough: barra_beta_proxy
barra_liquidity_proxy,D,auto_panel,auto passthrough: barra_liquidity_proxy
barra_momentum_proxy,D,auto_panel,auto passthrough: barra_momentum_proxy
barra_size_proxy,D,auto_panel,auto passthrough: barra_size_proxy
barra_volatility_proxy,D,auto_panel,auto passthrough: barra_volatility_proxy
body_ratio,D,price_action,body ratio
breakout_20,D,trend,close/rolling high20 - 1
breakout_strength_20,D,trend,breakout normalized by ATR
bridge_120min_close_dev,D,bridge,120min->D close deviation
bridge_120min_close_disp,D,bridge,120min->D close dispersion
bridge_120min_crowd_unwind,D,bridge,120min->D crowding unwind
bridge_120min_hilo_spread,D,bridge,120min->D high-low spread
bridge_120min_liq_pressure,D,bridge,120min->D liquidity pressure
bridge_120min_liq_pulse,D,bridge,120min->D liquidity pulse
bridge_120min_liq_trend_sync,D,bridge,120min->D liquidity-trend sync
bridge_120min_micro_shift,D,bridge,120min->D micro regime shift
bridge_120min_noise,D,bridge,120min->D noise-to-signal
bridge_120min_ret3_std,D,bridge,120min->D ret3 std
bridge_120min_trend_carry,D,bridge,120min->D trend carry
bridge_120min_vol_comp,D,bridge,120min->D volatility compression
bridge_15min_close_dev,D,bridge,15min->D close deviation
bridge_15min_close_disp,D,bridge,15min->D close dispersion
bridge_15min_crowd_unwind,D,bridge,15min->D crowding unwind
bridge_15min_hilo_spread,D,bridge,15min->D high-low spread
bridge_15min_liq_pressure,D,bridge,15min->D liquidity pressure
bridge_15min_liq_pulse,D,bridge,15min->D liquidity pulse
bridge_15min_liq_trend_sync,D,bridge,15min->D liquidity-trend sync
bridge_15min_micro_shift,D,bridge,15min->D micro regime shift
bridge_15min_noise,D,bridge,15min->D noise-to-signal
bridge_15min_ret3_std,D,bridge,15min->D ret3 std
bridge_15min_trend_carry,D,bridge,15min->D trend carry
bridge_15min_vol_comp,D,bridge,15min->D volatility compression
bridge_30min_close_dev,D,bridge,30min->D close deviation
bridge_30min_close_disp,D,bridge,30min->D close dispersion
bridge_30min_crowd_unwind,D,bridge,30min->D crowding unwind
bridge_30min_hilo_spread,D,bridge,30min->D high-low spread
bridge_30min_liq_pressure,D,bridge,30min->D liquidity pressure
bridge_30min_liq_pulse,D,bridge,30min->D liquidity pulse
bridge_30min_liq_trend_sync,D,bridge,30min->D liquidity-trend sync
bridge_30min_micro_shift,D,bridge,30min->D micro regime shift
bridge_30min_noise,D,bridge,30min->D noise-to-signal
bridge_30min_ret3_std,D,bridge,30min->D ret3 std
bridge_30min_trend_carry,D,bridge,30min->D trend carry
bridge_30min_vol_comp,D,bridge,30min->D volatility compression
bridge_5min_close_dev,D,bridge,5min->D close deviation
bridge_5min_close_disp,D,bridge,5min->D close dispersion
bridge_5min_crowd_unwind,D,bridge,5min->D crowding unwind
bridge_5min_hilo_spread,D,bridge,5min->D high-low spread
bridge_5min_liq_pressure,D,bridge,5min->D liquidity pressure
bridge_5min_liq_pulse,D,bridge,5min->D liquidity pulse
bridge_5min_liq_trend_sync,D,bridge,5min->D liquidity-trend sync
bridge_5min_micro_shift,D,bridge,5min->D micro regime shift
bridge_5min_noise,D,bridge,5min->D noise-to-signal
bridge_5min_ret3_std,D,bridge,5min->D ret3 std
bridge_5min_trend_carry,D,bridge,5min->D trend carry
bridge_5min_vol_comp,D,bridge,5min->D volatility compression
bridge_60min_close_dev,D,bridge,60min->D close deviation
bridge_60min_close_disp,D,bridge,60min->D close dispersion
bridge_60min_crowd_unwind,D,bridge,60min->D crowding unwind
bridge_60min_hilo_spread,D,bridge,60min->D high-low spread
bridge_60min_liq_pressure,D,bridge,60min->D liquidity pressure
bridge_60min_liq_pulse,D,bridge,60min->D liquidity pulse
bridge_60min_liq_trend_sync,D,bridge,60min->D liquidity-trend sync
bridge_60min_micro_shift,D,bridge,60min->D micro regime shift
bridge_60min_noise,D,bridge,60min->D noise-to-signal
bridge_60min_ret3_std,D,bridge,60min->D ret3 std
bridge_60min_trend_carry,D,bridge,60min->D trend carry
bridge_60min_vol_comp,D,bridge,60min->D volatility compression
candle_imbalance_alpha,D,price_action,body*close-position imbalance
close,D,auto_panel,auto passthrough: close
close_pos,D,price_action,close position in range
close_to_vwap_day,D,intraday_micro,close-vwap
crowding_proxy_raw,D,auto_panel,auto passthrough: crowding_proxy_raw
crowding_unwind_daily,D,crowding,crowding unwind with ret3
downside_vol_20,D,auto_panel,auto passthrough: downside_vol_20
downside_vol_ratio_20,D,volatility,downside ratio negative
fd_cashflow_disp,D,auto_panel,auto passthrough: fd_cashflow_disp
fd_cashflow_raw_01,D,auto_panel,auto passthrough: fd_cashflow_raw_01
fd_cashflow_raw_02,D,auto_panel,auto passthrough: fd_cashflow_raw_02
fd_cashflow_raw_03,D,auto_panel,auto passthrough: fd_cashflow_raw_03
fd_cashflow_raw_04,D,auto_panel,auto passthrough: fd_cashflow_raw_04
fd_cashflow_raw_05,D,auto_panel,auto passthrough: fd_cashflow_raw_05
fd_cashflow_raw_06,D,auto_panel,auto passthrough: fd_cashflow_raw_06
fd_cashflow_raw_07,D,auto_panel,auto passthrough: fd_cashflow_raw_07
fd_cashflow_raw_08,D,auto_panel,auto passthrough: fd_cashflow_raw_08
fd_cashflow_raw_09,D,auto_panel,auto passthrough: fd_cashflow_raw_09
fd_cashflow_raw_10,D,auto_panel,auto passthrough: fd_cashflow_raw_10
fd_cashflow_raw_11,D,auto_panel,auto passthrough: fd_cashflow_raw_11
fd_cashflow_raw_12,D,auto_panel,auto passthrough: fd_cashflow_raw_12
fd_cashflow_score,D,auto_panel,auto passthrough: fd_cashflow_score
fd_cashflow_trend,D,auto_panel,auto passthrough: fd_cashflow_trend
fd_efficiency_disp,D,auto_panel,auto passthrough: fd_efficiency_disp
fd_efficiency_raw_01,D,auto_panel,auto passthrough: fd_efficiency_raw_01
fd_efficiency_raw_02,D,auto_panel,auto passthrough: fd_efficiency_raw_02
fd_efficiency_raw_03,D,auto_panel,auto passthrough: fd_efficiency_raw_03
fd_efficiency_raw_04,D,auto_panel,auto passthrough: fd_efficiency_raw_04
fd_efficiency_raw_05,D,auto_panel,auto passthrough: fd_efficiency_raw_05
fd_efficiency_raw_06,D,auto_panel,auto passthrough: fd_efficiency_raw_06
fd_efficiency_raw_07,D,auto_panel,auto passthrough: fd_efficiency_raw_07
fd_efficiency_raw_08,D,auto_panel,auto passthrough: fd_efficiency_raw_08
fd_efficiency_raw_09,D,auto_panel,auto passthrough: fd_efficiency_raw_09
fd_efficiency_raw_10,D,auto_panel,auto passthrough: fd_efficiency_raw_10
fd_efficiency_raw_11,D,auto_panel,auto passthrough: fd_efficiency_raw_11
fd_efficiency_raw_12,D,auto_panel,auto passthrough: fd_efficiency_raw_12
fd_efficiency_score,D,auto_panel,auto passthrough: fd_efficiency_score
fd_efficiency_trend,D,auto_panel,auto passthrough: fd_efficiency_trend
fd_expectation_disp,D,auto_panel,auto passthrough: fd_expectation_disp
fd_expectation_raw_01,D,auto_panel,auto passthrough: fd_expectation_raw_01
fd_expectation_raw_02,D,auto_panel,auto passthrough: fd_expectation_raw_02
fd_expectation_raw_03,D,auto_panel,auto passthrough: fd_expectation_raw_03
fd_expectation_raw_04,D,auto_panel,auto passthrough: fd_expectation_raw_04
fd_expectation_raw_05,D,auto_panel,auto passthrough: fd_expectation_raw_05
fd_expectation_raw_06,D,auto_panel,auto passthrough: fd_expectation_raw_06
fd_expectation_raw_07,D,auto_panel,auto passthrough: fd_expectation_raw_07
fd_expectation_raw_08,D,auto_panel,auto passthrough: fd_expectation_raw_08
fd_expectation_raw_09,D,auto_panel,auto passthrough: fd_expectation_raw_09
fd_expectation_raw_10,D,auto_panel,auto passthrough: fd_expectation_raw_10
fd_expectation_raw_11,D,auto_panel,auto passthrough: fd_expectation_raw_11
fd_expectation_raw_12,D,auto_panel,auto passthrough: fd_expectation_raw_12
fd_expectation_score,D,auto_panel,auto passthrough: fd_expectation_score
fd_expectation_trend,D,auto_panel,auto passthrough: fd_expectation_trend
fd_growth_disp,D,auto_panel,auto passthrough: fd_growth_disp
fd_growth_raw_01,D,auto_panel,auto passthrough: fd_growth_raw_01
fd_growth_raw_02,D,auto_panel,auto passthrough: fd_growth_raw_02
fd_growth_raw_03,D,auto_panel,auto passthrough: fd_growth_raw_03
fd_growth_raw_04,D,auto_panel,auto passthrough: fd_growth_raw_04
fd_growth_raw_05,D,auto_panel,auto passthrough: fd_growth_raw_05
fd_growth_raw_06,D,auto_panel,auto passthrough: fd_growth_raw_06
fd_growth_raw_07,D,auto_panel,auto passthrough: fd_growth_raw_07
fd_growth_raw_08,D,auto_panel,auto passthrough: fd_growth_raw_08
fd_growth_raw_09,D,auto_panel,auto passthrough: fd_growth_raw_09
fd_growth_raw_10,D,auto_panel,auto passthrough: fd_growth_raw_10
fd_growth_raw_11,D,auto_panel,auto passthrough: fd_growth_raw_11
fd_growth_raw_12,D,auto_panel,auto passthrough: fd_growth_raw_12
fd_growth_score,D,auto_panel,auto passthrough: fd_growth_score
fd_growth_trend,D,auto_panel,auto passthrough: fd_growth_trend
fd_hf_cashflow_flow,D,auto_panel,auto passthrough: fd_hf_cashflow_flow
fd_hf_cashflow_intraday,D,auto_panel,auto passthrough: fd_hf_cashflow_intraday
fd_hf_cashflow_jump,D,auto_panel,auto passthrough: fd_hf_cashflow_jump
fd_hf_cashflow_sentiment,D,auto_panel,auto passthrough: fd_hf_cashflow_sentiment
fd_hf_cashflow_vwap,D,auto_panel,auto passthrough: fd_hf_cashflow_vwap
fd_hf_efficiency_flow,D,auto_panel,auto passthrough: fd_hf_efficiency_flow
fd_hf_efficiency_intraday,D,auto_panel,auto passthrough: fd_hf_efficiency_intraday
fd_hf_efficiency_jump,D,auto_panel,auto passthrough: fd_hf_efficiency_jump
fd_hf_efficiency_sentiment,D,auto_panel,auto passthrough: fd_hf_efficiency_sentiment
fd_hf_efficiency_vwap,D,auto_panel,auto passthrough: fd_hf_efficiency_vwap
fd_hf_expectation_flow,D,auto_panel,auto passthrough: fd_hf_expectation_flow
