signal_ts,ic,rank_ic,n,factor
2024-07-01,-0.4554745175300755,-0.1789473684210526,20,custom_ret_accel_5_20
2024-07-08,0.01628159321381831,0.03157894736842105,20,custom_ret_accel_5_20
2024-07-15,0.44611834069748574,0.4526315789473684,20,custom_ret_accel_5_20
2024-08-05,0.09204405720419216,0.02706766917293233,20,custom_ret_accel_5_20
2024-08-12,-0.24021250649755574,-0.12180451127819547,20,custom_ret_accel_5_20
2024-08-19,-0.47859287331824973,-0.32481203007518794,20,custom_ret_accel_5_20
2024-08-26,0.25311090687111615,0.26766917293233083,20,custom_ret_accel_5_20
2024-09-02,0.014911972689553972,0.03609022556390977,20,custom_ret_accel_5_20
2024-09-09,0.1260954649492669,-0.045112781954887216,20,custom_ret_accel_5_20
2024-09-18,-0.12141417466247212,0.03609022556390977,20,custom_ret_accel_5_20
2024-07-01,0.6193309799360881,0.4451127819548871,20,breakout_20
2024-07-08,0.04969462282494724,-0.16240601503759397,20,breakout_20
2024-07-15,0.1434001203350604,-0.016541353383458645,20,breakout_20
2024-08-05,-0.276686884648203,-0.2421052631578947,20,breakout_20
2024-08-12,0.39559117752900536,0.30225563909774433,20,breakout_20
2024-08-19,0.5365182930352179,0.6120300751879698,20,breakout_20
2024-08-26,-0.31592077514389094,-0.24812030075187969,20,breakout_20
2024-09-02,-0.07516541006309836,-0.07518796992481201,20,breakout_20
2024-09-09,-0.2377170990600924,-0.13834586466165413,20,breakout_20
2024-09-18,0.20580834629317052,0.23759398496240602,20,breakout_20
2024-07-01,-0.10042907232752261,-0.08270676691729321,20,amihud_20
2024-07-08,0.3590289698022331,0.5383458646616541,20,amihud_20
2024-07-15,-0.11434337652300862,-0.05563909774436089,20,amihud_20
2024-08-05,-0.04688343918596219,-0.10676691729323308,20,amihud_20
2024-08-12,0.3323029728426157,0.05263157894736842,20,amihud_20
2024-08-19,0.261012679622731,0.312781954887218,20,amihud_20
2024-08-26,0.26943673927137096,0.156390977443609,20,amihud_20
2024-09-02,0.13703422496138146,0.0,20,amihud_20
2024-09-09,0.14092781360965737,0.4616541353383458,20,amihud_20
2024-09-18,0.2278288024068832,0.20902255639097742,20,amihud_20
