factor,freq,category,description
amihud_20,M,auto_panel,auto passthrough: amihud_20
amount,M,auto_panel,auto passthrough: amount
amount_ma12,M,auto_panel,auto passthrough: amount_ma12
amount_ma20,M,auto_panel,auto passthrough: amount_ma20
amount_ratio_12,M,liquidity,amount ratio
amount_ratio_20,M,auto_panel,auto passthrough: amount_ratio_20
atr_norm_14,M,auto_panel,auto passthrough: atr_norm_14
barra_beta_proxy,M,auto_panel,auto passthrough: barra_beta_proxy
barra_liquidity_proxy,M,auto_panel,auto passthrough: barra_liquidity_proxy
barra_momentum_proxy,M,auto_panel,auto passthrough: barra_momentum_proxy
barra_size_proxy,M,auto_panel,auto passthrough: barra_size_proxy
barra_volatility_proxy,M,auto_panel,auto passthrough: barra_volatility_proxy
breakout_20,M,auto_panel,auto passthrough: breakout_20
bridge_120min_close_dev,M,bridge,120min->M close deviation
bridge_120min_close_disp,M,bridge,120min->M close dispersion
bridge_120min_crowd_unwind,M,bridge,120min->M crowding unwind
bridge_120min_hilo_spread,M,bridge,120min->M high-low spread
bridge_120min_liq_pressure,M,bridge,120min->M liquidity pressure
bridge_120min_liq_pulse,M,bridge,120min->M liquidity pulse
bridge_120min_liq_trend_sync,M,bridge,120min->M liquidity-trend sync
bridge_120min_micro_shift,M,bridge,120min->M micro regime shift
bridge_120min_noise,M,bridge,120min->M noise-to-signal
bridge_120min_ret3_std,M,bridge,120min->M ret3 std
bridge_120min_trend_carry,M,bridge,120min->M trend carry
bridge_120min_vol_comp,M,bridge,120min->M volatility compression
bridge_15min_close_dev,M,bridge,15min->M close deviation
bridge_15min_close_disp,M,bridge,15min->M close dispersion
bridge_15min_crowd_unwind,M,bridge,15min->M crowding unwind
bridge_15min_hilo_spread,M,bridge,15min->M high-low spread
bridge_15min_liq_pressure,M,bridge,15min->M liquidity pressure
bridge_15min_liq_pulse,M,bridge,15min->M liquidity pulse
bridge_15min_liq_trend_sync,M,bridge,15min->M liquidity-trend sync
bridge_15min_micro_shift,M,bridge,15min->M micro regime shift
bridge_15min_noise,M,bridge,15min->M noise-to-signal
bridge_15min_ret3_std,M,bridge,15min->M ret3 std
bridge_15min_trend_carry,M,bridge,15min->M trend carry
bridge_15min_vol_comp,M,bridge,15min->M volatility compression
bridge_30min_close_dev,M,bridge,30min->M close deviation
bridge_30min_close_disp,M,bridge,30min->M close dispersion
bridge_30min_crowd_unwind,M,bridge,30min->M crowding unwind
bridge_30min_hilo_spread,M,bridge,30min->M high-low spread
bridge_30min_liq_pressure,M,bridge,30min->M liquidity pressure
bridge_30min_liq_pulse,M,bridge,30min->M liquidity pulse
bridge_30min_liq_trend_sync,M,bridge,30min->M liquidity-trend sync
bridge_30min_micro_shift,M,bridge,30min->M micro regime shift
bridge_30min_noise,M,bridge,30min->M noise-to-signal
bridge_30min_ret3_std,M,bridge,30min->M ret3 std
